Family.Clade,Num_Entries,Species 1,Species 2,Species 3,Species 4,Species 5,Species 6,Species 7,Species 8,Species 9,Species 10,Species 11,Species 12,Species 13,Species 14,Species 15,Species 16,Species 17,Species 18,Species 19,Species 20,Species 21,Species 22,Species 23,Species 24,Species 25,Species 26,Species 27,Species 28,Species 29,Species 30
Perisodactyla,7,Isectolophus_radinskyi,Equus_leidyi,Teleoceras_major,Homogalax_aureus,Cardiolophus_radinskyi,Systemodon_tapirinus,Schizotheriodes_parvus,,,,,,,,,,,,,,,,,,,,,,,
Tapiromorpha,6,Isectolophus_radinskyi,Teleoceras_major,Homogalax_aureus,Cardiolophus_radinskyi,Systemodon_tapirinus,Schizotheriodes_parvus,,,,,,,,,,,,,,,,,,,,,,,,
Ceratomorpha,5,Fouchia_elyensis,Teleoceras_major,Desmatotherium_intermedius,Selenaletes_scopaeus,Tapirus_polkensis,,,,,,,,,,,,,,,,,,,,,,,,,
Tapiroidea,3,Helaletes_nanus,Tapirus_polkensis,Thuliadanta_mayri,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapiridae,2,Dilophodon_destitutus,Tapirus_polkensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinoceratoidea,5,Toxotherium_hunteri,Teleoceras_major,Hyracodon_petersoni,Amynodon_reedi,Hyrachyus_affinis,,,,,,,,,,,,,,,,,,,,,,,,,
Hyrachyidae,2,Hyrachyus_affinis,Hyrachyus_modestus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amynodontidae,2,Amynodon_reedi,Metamynodon_planifrons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyracodontidae,2,Triplodus_woodi,Hyracodon_petersoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinocerotidae,4,Uintaceras_radinskyi,Teleoceras_major,Gulfoceras_westfalli,Epiaphelops_virgasectus,,,,,,,,,,,,,,,,,,,,,,,,,,
Equiodea,2,Hyracotherium_vasacciense,Equus_leidyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paleotheriidae,2,Hyracotherium_vasacciense,Null,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equidae,2,Minippus_index,Equus_leidyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cetartiodactyla,19,Oromeryx_plicatus,Yumaceras_ruminalis,Camelops_hesternus,Platygonus_pollenae,Hypertragulus_minor,Alces_alces,Bison_antiquus,Problastomeryx_primus,Leptomeryx_exilis,Boreameryx_braskerudi,Paracosoryx_alticornis,Floridameryx_klausi,Bunomeryx_montanus,Texodon_meridianus,Apriculus_praeteritus,Auxontodon_pattersoni,Antiacodon_venustus,Hexacodus_pelodes,Helohyus_lentus,,,,,,,,,,,
Tylopoda,6,Oromeryx_plicatus,Camelops_hesternus,Mytonomeryx_scotti,Homacodon_vagans,Microsus_cuspidatus,Hylomeryx_annectens,,,,,,,,,,,,,,,,,,,,,,,,
Oromerycidae,2,Oromeryx_plicatus,Protylopus_stocki,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camelidae,2,Poebrodon_kayi,Camelops_hesternus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camelidae_Oromerycidae,4,Poebrodon_kayi,Camelops_hesternus,Oromeryx_plicatus,Protylopus_stocki,,,,,,,,,,,,,,,,,,,,,,,,,,
Suina,4,Simojovelhyus_pocitosense,Platygonus_pollenae,Mesomeryx_grangeri,Pentacemylus_leotensis,,,,,,,,,,,,,,,,,,,,,,,,,,
Tayassuidae,2,Simojovelhyus_pocitosense,Platygonus_pollenae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruminantiamorpha,9,Hypertragulus_minor,Yumaceras_ruminalis,Alces_alces,Bison_antiquus,Problastomeryx_primus,Leptomeryx_exilis,Boreameryx_braskerudi,Paracosoryx_alticornis,Floridameryx_klausi,,,,,,,,,,,,,,,,,,,,,
Ruminantiamorpha_Tayassuidae,10,Hypertragulus_minor,Yumaceras_ruminalis,Alces_alces,Bison_antiquus,Problastomeryx_primus,Leptomeryx_exilis,Boreameryx_braskerudi,Paracosoryx_alticornis,Floridameryx_klausi,Thinohyus_lentus,,,,,,,,,,,,,,,,,,,,
Hypertragulidae,2,Hypertragulus_minor,Parvitragulus_priscus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptomerycidae,2,Leptomeryx_exilis,Pronodens_silberlingi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gelocidae,2,Psuedoceras_skinneri,Floridameryx_klausi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pecora,6,Paracosoryx_alticornis,Yumaceras_ruminalis,Alces_alces,Bison_antiquus,Problastomeryx_primus,Boreameryx_braskerudi,,,,,,,,,,,,,,,,,,,,,,,,
Antilocapridae,2,Paracosoryx_alticornis,Capromeryx_minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cervoidea,5,Boreameryx_braskerudii,Yumaceras_ruminalis,Alces_alces,Bison_antiquus,Problastomeryx_primus,,,,,,,,,,,,,,,,,,,,,,,,,
Cervidae,2,Cervus_elaphus,Odocoileus_virginianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moschidae,2,Problastomeryx_advena,Blastomeryx_elegans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bovidae,2,Bison_antiquus,Ovibos_moschatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palaeomerycidae,2,Diabolocornis_simonsi,Yumaceras_ruminalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoceratidae,5,Leptoreodon_edwardsi,Leptoreodon_golzi,Leptoreodon_leptolophus,Leptoreodon_marshi,Protoceras_skinneri,,,,,,,,,,,,,,,,,,,,,,,,,
