Specimen #,Order,Suborder,Family,Subfamily,Accepted Genus,Accepted Species,Verbatim Genus, Verbatim Species,NALMA,State,Locality,P2_L,P2_TrigW,P2_TalW,P2_W,P3_L,P3_TrigW,P3_TalW,P3_W,P4_L,P4_TrigW,P4_TalW,P4_W,M1_L,M1_TrigW,M1_TalW,M1_W,M2_L,M2_TrigW,M2_TalW,M2_W,M3_L,M3_TrigW,M3_TalW,M3_W,p2_l,p2_Trigw,p2_Talw,p2_w,p3_l,p3_Trigw,p3_Talw,p3_w,p4_l,p4_Trigw,p4_Talw,p4_w,m1_l,m1_Trigw,m1_Talw,m1_w,m2_l,m2_Trigw,m2_Talw,m2_w,m3_l,m3_Trigw,m3_Talw,m3_w,p4_a,m1_a,m2_a,m3_a,M1_A,M2_A,M3_A,Comments,Recorded by,Source,Image from paper,Image Source,Image from Coll. Website,Coll. Image Source
AMNH 56293,Macroscelidea,,Apheliscidae,,Aletodon,mellon,Platymastus,mellon,,,,,,,,,,,,,,,,3.8,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1 or M2,Evan,Van Valen 1978,Y,Van Valen 1978,,
AMNH 15849,Macroscelidea,,Apheliscidae,Apheliscinae,Apheliscus,nitidus,Apheliscus,nitidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,3,,,,,,,,,,,,,,,,,,,,,ED,Delson 1971,,,,
AMNH 16935,Macroscelidea,,Apheliscidae,Apheliscinae,Apheliscus,nitidus,Apheliscus,nitidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,2.15,,,,,,,,,,,,,,,,,,,,,ED,Delson 1971,,,,
AMNH 56329,Macroscelidea,,Apheliscidae,Apheliscinae,Apheliscus,nitidus,Apheliscus,nitidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,2.1,,,,,,,,,,,,,,,,,,,,,ED,Delson 1971,,,,
UM 54888,Macroscelidea,,Apheliscidae,,Gingerichia,geoteretes,Gingerichia,geoteretes,,,Douglass Quarry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.15,2.1,2.15,,,,,,,,,,,,,ED,Zack etal 2005,,,,
UM 54889,Macroscelidea,,Apheliscidae,,Gingerichia,geoteretes,Gingerichia,geoteretes,,,Douglass Quarry,,,,,,,,,,,,,1.7,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,appromitate with > indicated on given values; M1 or M2,ED,Zack etal 2005,,,,
UM 54890,Macroscelidea,,Apheliscidae,,Gingerichia,geoteretes,Gingerichia,geoteretes,,,Glennie Quarry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,1.8,,,,,,,,,,,,,,,,,,,,,ED,Zack etal 2005,,,,
UM 54891,Macroscelidea,,Apheliscidae,,Gingerichia,geoteretes,Gingerichia,geoteretes,,,Glennie Quarry,,,,,,,,,2.65,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1 or M2,ED,Zack etal 2005,,,,
UM 54892,Macroscelidea,,Apheliscidae,,Gingerichia,geoteretes,Gingerichia,geoteretes,,,Glennie Quarry,,,,,,,,,,,,,2.2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1 or M2,ED,Zack etal 2005,,,,
UM 54893,Macroscelidea,,Apheliscidae,,Gingerichia,geoteretes,Gingerichia,geoteretes,,,Glennie Quarry,,,,,,,,,2.5,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1 or M2,ED,Zack etal 2005,,,,
