Catalog Number,Type,Order,Family,Accepted.Genus,Accepted.Species,Verbatim Genus, Verbatim Species,Include,NALMA,State,Locality,P2_L,P2_TrigW,P2_TalW,P2_W,P3_L,P3_TrigW,P3_TalW,P3_W,P4_L,P4_TrigW,P4_TalW,P4_W,M1_L,M1_TrigW,M1_TalW,M1_W,M2_L,M2_TrigW,M2_TalW,M2_W,M3_L,M3_TrigW,M3_TalW,M3_W,p2_l,p2_trigw,p2_talw,p2_w,p3_l,p3_trigw,p3_talw,p3_w,p4_l,p4_trigw,p4_talw,p4_w,m1_l,m1_trigw,m1_talw,m1_w,m2_l,m2_trigw,m2_talw,m2_w,m3_l,m3_trigw,m3_talw,m3_w,Comments,Recorded by,Date Recorded,Source,PBDB Paper ID,Image from paper,Image Source
multiple specimens and species,,NA,NA,"""","""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,log normal (length times width) on graph; likely not useable but worth noting,ED,9/9/22,Bown etal 1994,1420,Y,Bown etal 1994
UALVP 54895,,NA,NA,"""Gingerichia","sp1""",Gingerichia,sp 1,,,,Bingo Quarry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,1.3,,,,,,,,,,,,,,ED,,Zack etal 2005,42892,Y,Zack etal 2005
UCM 40150,holotype,NA,NA,"""Hemithlaeus","harbourae""",Hemithlaeus?,harbourae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,3.4,4.8,,,4,4.9,,,4.1,4.8,3.7,3.9,3.9,4.8,4.1,4.1,4.1,5.5,4,3.5,4,may need to check Middleton and Dewar 2004 to check if these were ever reassigned,ED,9/12/22,Middleton 1983,2585,,
,,NA,NA,"""Phenacodus","nunienus""",Phenacodus,nunienus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,only postcrania,ED,8/24/22,Cope 1883,36083,Y,Cope 1883
UCM 34144,,NA,NA,"""Tinuviel","gazini""",Tinuviel?,gazini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,2.9,4.5,,,3.4,,,,,5.2,3.7,3.7,3.7,5.2,4.2,3.7,4.2,,,,,,ED,9/12/22,Middleton 1983,2585,,
UCM 34146,,NA,NA,"""Tinuviel","gazini""",Tinuviel?,gazini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,3.7,4.8*,3.5,3.7,3.7,5.3,4.2,3.8,4.2,,,,,* are estimated values,ED,9/12/22,Middleton 1983,2585,,
UCM 34147,,NA,NA,"""Tinuviel","gazini""",Tinuviel?,gazini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,3.7,5*,3.4*,3.8,3.8,5.5*,4.1,3.6*,4.1,,,,,* are estimated values,ED,9/12/22,Middleton 1983,2585,,
UCM 34148,,NA,NA,"""Tinuviel","gazini""",Tinuviel?,gazini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,4,3.8,4,,,,,,ED,9/12/22,Middleton 1983,2585,,
UCM 34152,,NA,NA,"""Tinuviel","gazini""",Tinuviel?,gazini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,4.3,3.7,4.3,,,,,,ED,9/12/22,Middleton 1983,2585,,
UCM 34165,,NA,NA,"""Tinuviel","gazini""",Tinuviel?,gazini,,,,,,,,,,,,,,,,,5.3*,,,,5.1*,,,,3.8*,,,,,,,,,,,,,,,,,,,,,,,,,,,,* are estimated values,ED,9/12/22,Middleton 1983,2585,,
UCM 34166,,NA,NA,"""Tinuviel","gazini""",Tinuviel?,gazini,,,,,,,,,4.5,,,4.8,4.6,,,6,4.9,6.6,6.7,6.7,4.8,7.6,7.6,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED,9/12/22,Middleton 1983,2585,,
UCM 34167,,NA,NA,"""Tinuviel","gazini""",Tinuviel?,gazini,,,,,,,,,,,,,,,,,,,,,5.2,7.8,7.7,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED,9/12/22,Middleton 1983,2585,,
UCM 34168,,NA,NA,"""Tinuviel","gazini""",Tinuviel?,gazini,,,,,,,,,,,,,,,,,4.9*,,6.9*,6.9*,4.8,7.6*,7.8*,7.8*,3.5*,6.6*,,6.6*,,,,,,,,,,,,,,,,,,,,,,,,,* are estimated values,ED,9/12/22,Middleton 1983,2585,,
