family,genus,species,binomial,subspecies,diet,habitat,HI,JLB,MZW,refs
Bovidae,Addax,nasomacultus,Addax nasomacultus,,MF,OH,4.09,1.51,0.51,"Nowak 2001, Altan 2000, Kingdon 1982"
Bovidae,Aepyceros,melampus,Aepyceros melampus,,MF,OH,4.89,1.56,0.52,"Van Zyl 1965, Estes 1991, Jarman 1979, Hansen et al. 1985"
Cervidae,Alces,alces,Alces alces,,HBr,CH,1.34,2.51,0.59,"Franzmann 1981, Coady 1982"
Bovidae,Alcelaphus,buselaphus,Alcelaphus buselaphus,,Gr,OH,5.23,2.16,0.82,"Hoppe et al. 1977a, Lamprey 1963"
Bovidae,Ammodorcas,clarkei,Ammodorcas clarkei,,HBr,OH,2.23,2.02,0.45,"Kingdon 1982, Diller and Haltenorth 1980"
Bovidae,Ammotragus,lervia,Ammotragus lervia,,MF,OH,4.45,1.24,0.44,"Schaller 1977a, Gray and Simpson 1980"
Antilocapridae,Antilocapra,americana,Antilocapra americana,,MF,OH,4.61,2.02,0.58,"Gorog 1999, Olsen and Hansen 1977"
Bovidae,Antilope,cervicapra,Antilope cervicapra,,MF,OH,5.14,1.68,0.42,"Nocon 1999a, Roberts 1977"
Bovidae,Bubalus,depressicornis,Bubalus depressicornis,,Br,CH,4.43,1.86,0.78,"Massicot 2005a, Parker 1990, Nowak 2001, Miller 2002, Syam 1978"
Bovidae,Antidorcas,marsupialis,Antidorcas marsupialis,,MF,OH,4.89,1.26,0.4,"Van Zyl 1965, Bigalke 1978"
Cervidae,Axis,axis,Axis axis,,MF,OH,2.81,1.52,0.53,"Khan 1994, Schaller 1967, Moe and Wegge 1994"
Cervidae,Axis,porcinus,Axis porcinus,,MF,MH,2.53,1.64,0.57,"Michelin 2002, Roberts 1977"
Suidae,Babyrousa,babyrussa,Babyrousa babyrussa,,Om,CH,1.03,1.59,0.71,"Simpson 1984, Patryeet al. 1995"
Bovidae,Bison,bison,Bison bison,,Gr,OH,4.87,1.81,0.99,"Meagher 1978, 1987;"
Bovidae,Bison,bonasus,Bison bonasus,,Gr,CH,6.12,1.82,0.95,"Borowski et al. 1967, McDonald 1981, Krasinska et al. 1987"
Cervidae,Blastocerus,dichotomus,Blastocerus dichotomus,,MF,OH,1.49,2.38,0.83,"Pinder and Grosse 1991, Mares et al. 1989,"
Bovidae,Bos,javanicus,Bos javanicus,,Gr,OH,5.04,2.04,0.81,Nowak 2001
Bovidae,Bos,gaurus,Bos gaurus,,Gr,MH,3.69,2.02,0.92,"Nowak 2001, Schaller 1967"
Bovidae,Bos,indicus,Bos indicus,,Gr,OH,4.43,1.69,0.68,"Hoppe et al. 1977a, Sidhu and Ichhponani 1977,"
Bovidae,Boselaphus,tragocamelus,Boselaphus tragocamelus,,MF,MH,3.03,1.88,0.57,"Benton 2000, Nowak 2001, Schaller 1967, Khan 1994"
Bovidae,Bubalus,bubalis,Bubalus bubalis,,Gr,MH,3.85,2.08,1,"Lydekker 1907, Gurung and Singh. 1996, Lekagul and McNeely. 1988"
Bovidae,Budorcas,taxicolor,Budorcas taxicolor,,MF,OH,3.42,1.72,0.59,"Parker 1990, Near and Hoffman. 1987, Nowak 2001"
Camelidae,Camelus,bactrianus,Camelus bactrianus,,MF,OH,2.98,1.31,0.43,"Crump 1981, Boitani and Bartoli. 1982, Nowak 2001"
Cervidae,Capreolus,capreolus,Capreolus capreolus,,Br,CH,1.49,1.83,0.58,"Jackson 1980, Hosey 1981, Maizerek et al. 1989, Sempere et al. 1996"
Camel,Camelus,dromedarius,Camelus dromedarius,,Br,OH,2.52,1.43,0.37,"Busch Gardens 1996, Beekman and Prins 1989"
Bovidae,Capra,ibex,Capra ibex,,MF,OH,4.71,1.42,0.45,"Schaller 1977a, Nowak 2001"
Bovidae,Capricornis,sumatrensis,Capricornis sumatrensis,,MF,MH,3.39,1.97,0.59,"Schaller 1977a, Nowak 2001"
Suidae,Catagonous,wagneri,Catagonous wagneri,,Om,CH,1.06,1.49,0.64,"Mayer and Wetzal 1986, Simpson 1984"
Cervidae,Cervus,canadensis,Cervus canadensis,,MF,CH,1.96,1.81,0.74,"Hansen and Clarke 1977, Olsen andHansen 1977, Boyd 1970"
Bovidae,Cephalophus,dorsalis,Cephalophus dorsalis,,Br,CH,1.15,1.92,0.64,"Feer 1989, Happold 1987, Walther 1990a, Eves 2000"
Cervidae,Cervus,duvaucelii,Cervus duvaucelii,,FG,MH,2.85,1.91,0.72,"Schaller 1967, Martin 1977, Massicot 2005b"
Cervidae,Cervus,elaphus,Cervus elaphus,scottius,MF,MH,2.11,1.78,0.63,Senseman 2002
Bovidae,Cephalophus,monticolor,Cephalophus monticolor,,Br,CH,1.9,1.93,0.51,"Smithers, R.N.H. 1983, Gautier-Hion et al. 1980, Eves 2000"
Cervidae,Cervus,nippon,Cervus nippon,,MF,MH,2.79,1.73,0.6,"Chen et al.1998, Nowak 2001, Feldhamer, G. A. 1980"
Rhinocerotidae,Ceratotherium,simum,Ceratotherium simum,,Gr,OH,3.9,1.07,0.39,"Groves 1972, Owen-Smith 1974, Ellis 1999"
Bovidae,Cephalophus,spadix,Cephalophus spadix,,Br,CH,1.95,1.99,0.64,"Gautier-Hion 1980, Eves 2000; Kingdon 1982, 1997"
