accepted_name,order,family,genus,max_ma,min_ma,accepted_rank,Size category 1,Literature 1,Size category 2,Literature 2,kg,Literature,Size cate based on kg,kg,Literature,Accepted Name?
Hapalodectes,Acreodi,Hapalodectidae,Hapalodectes,55.8,50.3,genus,smaller than housecat,Rose 2006,,,,,,,,
Hapalodectes_anthracinus,Acreodi,Hapalodectidae,Hapalodectes,55.8,48.6,species,,,,,,,,,,
Hapalodectes_leptognathus,Acreodi,Hapalodectidae,Hapalodectes,55.8,48.6,species,,,,,0.9,Gunnell and Gingerich 1996,Weasel,,,
Hapalorestes_lovei,Acreodi,Hapalodectidae,Hapalorestes,50.3,46.2,species,,,,,8,Gunnell and Gingerich 1996,Coyote,,,
Ankalagon_saurognathus,Acreodi,Mesonychidae,Ankalagon,63.3,61.7,species,,,,,38,Zhao 1995 dissertation,Wolf,,,
Dissacus,Acreodi,Mesonychidae,Dissacus,63.3,50.3,genus,coyote,Archibald 1998,,,,,,,,
Dissacus_argenteus,Acreodi,Mesonychidae,Dissacus,61.7,55.8,species,coyote,Archibald 1998,15% smaller than D. praenuntius,Oleary and Rose 1995,,,,,,
Dissacus_longaevus,Acreodi,Mesonychidae,Dissacus,,,species,coyote,Archibald 1998,20% smaller than D. praenuntius ,Oleary and Rose 1995,14,Zhao 1995 dissertation,Coyote,,,D. willwoodensis
Dissacus_navajovius,Acreodi,Mesonychidae,Dissacus,66,55.8,species,coyote,Archibald 1998,~= D. argenteus,Oleary and Rose 1995,11,Zhao 1995 dissertation,Coyote,,,
Dissacus_praenuntius,Acreodi,Mesonychidae,Dissacus,61.7,50.3,species,coyote,Archibald 1998,,,16,Zhao 1995 dissertation,Coyote,,,
Harpagolestes,Acreodi,Mesonychidae,Harpagolestes,46.2,37.2,genus,Bear,Archibald 1998,,,,,,,,
Harpagolestes_brevipes,Acreodi,Mesonychidae,Harpagolestes,46.2,40.4,species,Bear,Archibald 1998,,,,,,,,
Harpagolestes_leotensis,Acreodi,Mesonychidae,Harpagolestes,46.2,40.4,species,Bear,Archibald 1998,,,80,Zhao 1995 dissertation,Wolf,,,
Harpagolestes_macrocephalus,Acreodi,Mesonychidae,Harpagolestes,50.3,46.2,species,Bear,Archibald 1998,,,108,Zhao 1995 dissertation,Lion,,,
Harpagolestes_uintensis,Acreodi,Mesonychidae,Harpagolestes,48.6,37.2,species,Bear,Archibald 1998,,,96,Zhao 1995 dissertation,Wolf,,,
Hessolestes,Acreodi,Mesonychidae,Hessolestes,46.2,40.4,genus,,,,,,,,,,
Hessolestes_ultimus,Acreodi,Mesonychidae,Hessolestes,40.4,37.2,species,,,,,55,Zhao 1995 dissertation,Wolf,,,
