identified_name,n (dental),kg (dental),n (postcrania),kg (postcrania),Citation,PBDB Paper ID,Notes
Ankalagon saurognathus,3,38,1,32,Zhou 1995,Dissertation,
Dissacus argenteus,1,11.81,,,Solé etal 2021,61876,
Dissacus blayaci,1,36,,,Zhou 1995,Dissertation,
Dissacus europaeus,3,8.333333333,,,Zhou 1995,Dissertation,
Dissacus filholi,1,16,,,Zhou 1995,Dissertation,
Dissacus longaevus,1,12.19,,,Solé etal 2021,61876,Made nomen dubium after Zhou 1995.  This is based on former type specimen.  Zhou 1995 does attribute other specimens.
Dissacus magushanensis,1,7,,,Zhou 1995,Dissertation,
Dissacus navajovius,8,10.5,1,12,Zhou 1995,Dissertation,Includes specimens in Sole etal 2021 alongside others
Dissacus praenuntius,16,16.23625,1,17,Solé etal 2021 and Zhou 1995,61876,These authros used different specimens so averaging across all
Dissacus serior,1,12.4,,,Solé etal 2021,61876,
Dissacus willwoodensis,2,9.965,,,Solé etal 2021,61876,
Hapalodectes leptognathus,,0.9,,,Gunnell and Gingerich 1996, 1747,
Hapalorestes lovei,1,8,,,Gunnell and Gingerich 1996, 1747,
Harpagolestes leotensis,1,80,,,Zhou 1995,Dissertation,
Harpagolestes macrocephalus,1,108,,,Zhou 1995,Dissertation,
Harpagolestes uintensis,4,96,,,Zhou 1995,Dissertation,
Hessolestes ultimus,1,55,,,Zhou 1995,Dissertation,
Lohoodon lushiensis,1,14,,,Zhou 1995,Dissertation,
Mesonyx obtusidens,6,28,1,34,Zhou 1995,Dissertation,
Mongolestes hadrodens,1,194,,,Zhou 1995,Dissertation,
Mongolonyx dolichognathus,1,143,,,Zhou 1995,Dissertation,
Pachyaena boulei,1,151,1,155,Zhou 1995,Dissertation,
Pachyaena gigantea,7,154.4285714,1,142,Zhou 1995,Dissertation,
Pachyaena gracilis,5,35.8,1,32,Zhou 1995,Dissertation,
Pachyaena ossifraga,11,55.45454545,5,57.2,Zhou 1995,Dissertation,
Sinonyx jiashanensis,1,28,1,25,Zhou 1995,Dissertation,
Synoplotherium lanius,3,39.66666667,1,41,Zhou 1995,Dissertation,
