,LIDNUM,NAME,LOC_SYNONYMS,COUNTRY,STATE,COUNTY,BFA_MAX,BFA_MIN,MAX_AGE,MIN_AGE,CHRON,
2113,28543,APAC Shell Pit,Warren Brothers Pit: Newburn Pit: MacAsphalt Shell Pit,United States of America,Florida,Sarasota,blancan,blancan,4.91,1.8,NA,
2890,28509,Asuncion,Arroyo Las Chivas,Mexico,Baja California,NA,serravallian,serravallian,13.82,11.63,NA,
3530,28560,Austin Pit,Ridgeville,United States of America,South Carolina,Dorchester,pliocene,pliocene,5.333,2.58,NA,
4827,28478,Bean Creek,Bean Creek 1: Bean Creek 2,United States of America,California,Santa Cruz,tortonian,tortonian,11.63,7.246,NA,
4829,28557,Beaufort,,United States of America,South Carolina,Beaufort,pliocene,pliocene,5.333,2.58,NA,
4860,28460,Beaver Creek,,United States of America,Oregon,Lincoln,arikareean,hemingfordian,29.75,15.97,NA,
5093,28563,Bells Bridge,,United States of America,North Carolina,Edgecombe,pliocene,pliocene,5.333,2.58,NA,
5551,28458,Big Creek,,United States of America,Oregon,Lincoln,arikareean,barstovian,29.75,12.57,NA,
6410,28546,Bradenton,,United States of America,Florida,Manatee,piacenzian,piacenzian,3.6,2.58,NA,
7334,10013,California CC1,CC1,United States of America,CA,San Diego,wasatchian-5,wasatchian-6,54.05,53.07,Wa5-Wa6,
7344,10044,California CC10,CC10,United States of America,CA,San Diego,duchesnean,duchesnean,39.83,37.39,Du,
7350,10045,California CC10II,CC10II,United States of America,CA,,orellan-1,orellan-4,33.9,32.1,Or1-Or4,
7351,10046,California CC10III,CC10III,United States of America,CA,,orellan,arikareean-2,33.9,22.2,Or-Ar2,
7352,10047,California CC11,CC11,United States of America,CA,Santa Barbara,arikareean-1,arikareean-1,29.75,28,Ar1,
7353,10048,California CC12,CC12,United States of America,CA,San Diego,arikareean-1,arikareean-1,29.75,28,Ar1,
7369,10049,California CC13,CC13,United States of America,CA,,arikareean-2,arikareean-2,28,22.2,Ar2,
7377,10050,California CC14,CC14,United States of America,CA,,arikareean-3,arikareean-3,22.2,19.09,Ar3,
7379,10051,California CC15,CC15,United States of America,CA,,arikareean-4,arikareean-4,19.09,18.5,Ar4,
7386,10052,California CC16,CC16,United States of America,CA,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
7395,10053,California CC17A,CC17A,United States of America,CA,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
7398,10054,California CC17B,CC17B,United States of America,CA,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
7406,10055,California CC17C,CC17C,United States of America,CA,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
7418,10056,California CC17D,CC17D,United States of America,CA,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
7438,10057,California CC17E,CC17E,United States of America,CA,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
7451,10058,California CC17F,CC17F,United States of America,CA,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
7456,10059,California CC17G,CC17G,United States of America,CA,,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
7486,10060,California CC17H,CC17H,United States of America,CA,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
7509,10061,California CC17I,CC17I,United States of America,CA,,hemphillian-3,hemphillian-4,6.88,4.91,Hh3-Hh4,
7517,10062,California CC18A,CC18A,United States of America,CA,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
7522,10063,California CC18B,CC18B,United States of America,CA,,hemingfordian-1,hemingfordian-1,18.5,17.34,He1,
7523,10064,California CC19,CC19,United States of America,CA,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
7547,10014,California CC2,CC2,United States of America,CA,San Diego,bridgerian-2,bridgerian-2,49.27,48.64,Br2,
7550,10065,California CC20,CC20,United States of America,CA,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
7553,10066,California CC21A,CC21A,United States of America,CA,Kern,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
7563,10067,California CC21B,CC21B,United States of America,CA,Kern,barstovian-1,barstovian-1,15.97,14.78,Ba1,
7574,10068,California CC21C,CC21C,United States of America,CA,Kern,barstovian-2,barstovian-2,14.78,12.57,Ba2,
7591,10069,California CC22A,CC22A,United States of America,CA,,hemingfordian-2,hemingfordian-2,17.34,15.97,He2,
7617,10070,California CC22B,CC22B,United States of America,CA,,barstovian-2,barstovian-2,14.78,12.57,,
7629,10071,California CC22C,CC22C,United States of America,CA,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
7643,10072,California CC22D,CC22D,United States of America,CA,,clarendonian-1,clarendonian-2,12.57,10.09,Cl1-2,
7644,10073,California CC22E,CC22E,United States of America,CA,,hemphillian-2,hemphillian-2,7.59,6.88,Hh2,
7653,10074,California CC23A,CC23A,United States of America,CA,,barstovian-1,barstovian-1,15.97,14.78,Ba1,
7669,10075,California CC23B,CC23B,United States of America,CA,,barstovian-2,barstovian-2,14.78,12.57,?Ba2,
7670,10079,California CC24,CC24,United States of America,CA,,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
7672,10080,California CC25A,CC25A,United States of America,CA,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
7678,10082,California CC25B,CC25B,United States of America,CA,,hemphillian-4,hemphillian-4,5.91,4.91,Hh4,
7702,10083,California CC26A,CC26A,United States of America,CA,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
7705,10084,California CC26B,CC26B,United States of America,CA,Contra Costa,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
7728,10085,California CC26C,CC26C,United States of America,CA,Contra Costa,blancan-early,blancan-early,4.91,2.63,E Bl,
