Family_Assignment,MASTER_LIST,Max_Age,Min_Age,m1L,rbl,BM_all_carnivoran,BM_extant_reg
Ailuridae,Alopecocyon leardi,11.5,9.07,NA,NA,NA,NA
Ailuridae,Pristinailurus bristoli,7.5,2.63,12.699,0.62,10.19,6.326
Ailuridae,Simocyon primigenius,9,7.2,24.941,0.713,75.654,66.261
Amphicyonidae,Adilophontes brachykolos,19.5,18.5,28.696,0.643,114.744,119.798
Amphicyonidae,Amphicyon frendens,18.8,14.8,36.755,0.657,239.326,258.487
Amphicyonidae,Amphicyon galushai,18.8,17.34,29.176,0.688,120.539,126.135
Amphicyonidae,Amphicyon ingens,15.97,12.5,39.088,0.688,287.322,312.953
Amphicyonidae,Amphicyon longiramus,18.8,12.5,32,0.65,158.597,168.074
Amphicyonidae,Amphicyon pontoni,17,12.5,NA,NA,NA,NA
Amphicyonidae,Amphicyon reinheimeri,15.97,12.5,NA,NA,NA,NA
Amphicyonidae,Amphicyon riggsi,18.8,15.9,NA,NA,NA,NA
Amphicyonidae,Angelarctocyon australis,39.83,37.39,7.81,0.617,2.405,2.101
Amphicyonidae,Brachyrhynchocyon dodgei,37.39,33.9,14.2,0.73,14.2,13.464
Amphicyonidae,Brachyrhynchocyon montanus,35.24,34.7,11.9,NA,8.402,7.775
Amphicyonidae,Cynelos caroniavorus,18.5,15.97,15,0.6,16.711,15.963
Amphicyonidae,Cynelos idoneus,17.5,14.8,27.382,0.659,99.832,103.563
Amphicyonidae,Cynelos sinapius,16.3,12.5,36.14,0.619,227.628,245.284
Amphicyonidae,Daphoenictis tedfordi,39.83,33.9,16.2,0.74,21.002,20.275
Amphicyonidae,Daphoenodon (Borocyon) neomexicanus,19.5,18.5,27.295,0.675,98.893,102.544
Amphicyonidae,Daphoenodon (Borocyon) niobrarensis,18.5,12.57,28.25,0.667,109.528,114.108
Amphicyonidae,Daphoenodon (Borocyon) robustum,19.5,14.78,30.687,0.674,140.041,147.56
Amphicyonidae,Daphoenodon falkenbachi,19.5,18.5,29.2,0.677,120.833,126.457
Amphicyonidae,Daphoenodon minor,22.2,19.09,NA,NA,NA,NA
Amphicyonidae,Daphoenodon notionastes,28,19.09,21.6,0.625,49.355,49.562
Amphicyonidae,Daphoenodon skinneri,19.5,18.5,24.75,0.693,73.947,75.655
Amphicyonidae,Daphoenodon superbus,23.8,18.5,25.805,0.675,83.707,86.132
Amphicyonidae,Daphoenus hartshornianus,32.1,28,14.47,0.663,15.017,14.275
Amphicyonidae,Daphoenus ruber,27.9,24.6,NA,NA,NA,NA
Amphicyonidae,Daphoenus socialis,30.5,19.09,17.1,0.67,24.66,23.984
Amphicyonidae,Daphoenus transversus,29.8,23.8,NA,NA,NA,NA
Amphicyonidae,Daphoenus vetus,35.92,23.8,15.36,0.67,17.93,17.184
Amphicyonidae,Gustafsonia cognita,37.39,35.92,NA,NA,NA,NA
Amphicyonidae,Ischyrocyon gidleyi,15.97,9.07,42.99,0.696,381.155,420.603
Amphicyonidae,Mammacyon obtusidens,28,19.09,23.38,0.691,62.441,63.387
Amphicyonidae,Paradaphoenus cuspigerus,29.8,22.2,9.15,0.621,3.85,3.437
Amphicyonidae,Paradaphoenus minimus,33.9,32.1,8.367,0.614,2.951,2.603
Amphicyonidae,Paradaphoenus tooheyi,32.1,27.9,7.512,0.685,2.143,1.862
Amphicyonidae,Pliocyon medius,17,12.5,28.568,0.67,113.233,118.148
Amphicyonidae,Pliocyon ossifragus,15.9,14.8,NA,NA,NA,NA
Amphicyonidae,Pliocyon robustus,14.78,11.5,33.2,0.704,176.921,188.441
Amphicyonidae,Temnocyon altigenis,31.4,19.09,18.225,0.665,29.798,29.234
Amphicyonidae,Temnocyon percussor,23.8,18.8,23.48,0.709,63.237,64.233
Amphicyonidae,Temnocyon typicus,30,23.8,NA,NA,NA,NA
Amphicyonidae,Ysengrinia americana,23.8,17.34,28.25,0.723,109.528,114.108
Barbourofelidae,Barbourofelis fricki,10,5.9,37.612,1,256.293,451.61
Barbourofelidae,Barbourofelis loveorum,10.09,7.5,32.1,NA,160.074,278.51
Barbourofelidae,Barbourofelis morrisi,12.2,6.88,26.32,0.822,88.766,152.01
Barbourofelidae,Barbourofelis whitfordi,12.11,6.7,24.62,1,72.799,124.002
Canidae,Aelurodon asthenostylus,15.97,12.5,26.01,0.734,85.697,22.675
Canidae,Aelurodon ferox,15.97,7.59,28.24,0.759,109.413,26.337
Canidae,Aelurodon mcgrewi,14.78,12.2,25.67,0.802,82.413,22.139
Canidae,Aelurodon montanensis,15.97,14.78,26.4,0.748,89.57,23.298
Canidae,Aelurodon stirtoni,14.8,12.11,24.69,0.765,73.415,20.625
Canidae,Aelurodon taxoides,15.97,6.7,30.05,0.764,131.582,29.49
Canidae,Alopex lagopus,0.042,0.002,NA,NA,NA,NA
Canidae,Archaeocyon falkenbachi,28,22.2,NA,NA,NA,NA
Canidae,Archaeocyon leptodus,32.2,22.2,9.13,0.657,3.825,3.373
Canidae,Archaeocyon pavidus,32.1,27.9,7.65,0.65,2.262,2.445
Canidae,Borophagus diversidens,7.59,0.9,32.91,0.71,172.371,34.797
Canidae,Borophagus dudleyi,5.91,4.7,NA,NA,NA,NA
Canidae,Borophagus hilli,5.91,2.63,29.88,0.7,129.384,29.187
Canidae,Borophagus littoralis,12.57,4.91,26.5,0.67,90.582,23.459
Canidae,Borophagus orc,7.59,6.7,22.15,0.71,53.181,16.927
Canidae,Borophagus parvus,6.88,4.7,23.76,0.63,65.503,19.233
Canidae,Borophagus pugnator,9.07,4.7,26.88,0.67,94.494,24.075
Canidae,Borophagus secundus,9,4.7,26.92,0.758,94.912,24.14
Canidae,Caedocyon tedfordi,31.4,23.8,19,NA,33.721,12.804
Canidae,Canis armbrusteri,2.63,0.39,29.54,0.758,125.06,28.586
Canidae,Canis dirus,0.11,0,33.39,0.689,179.945,35.726
Canidae,Canis edwardii,4.91,0.39,24.95,0.694,75.736,21.022
Canidae,Canis familiaris,0.042,0,NA,NA,NA,NA
Canidae,Canis ferox,7.59,2.63,19.93,0.662,38.863,13.967
Canidae,Canis latrans,0.4,0,21.16,0.643,46.428,15.575
Canidae,Canis lepophagus,5.9,0.9,20.63,0.727,43.059,14.873
Canidae,Canis lupus,0.4,0,27.6,0.646,102.212,25.261
Canidae,Canis rufus,0.003,0.001,NA,NA,NA,NA
Canidae,Canis thooides,2.63,1.8,18.35,0.716,30.409,12.018
Canidae,Carpocyon compressus,15.97,12,20.94,0.669,45.009,15.282
Canidae,Carpocyon limosus,9.07,4.7,NA,NA,NA,NA
Canidae,Carpocyon robustus,12.57,9,23.84,0.69,66.161,19.351
Canidae,Carpocyon webbi,14.8,6.7,24.65,0.767,73.063,20.564
Canidae,Cerdocyon texanus,5.91,4.7,14.65,0.748,15.579,7.977
Canidae,Chrysocyon nearcticus,4.91,1.8,21.49,0.714,48.612,16.02
Canidae,Cormocyon copei,29.8,17.5,11.49,0.674,7.571,5.126
Canidae,Cormocyon haydeni,35.24,18.5,11.5,0.691,7.591,5.134
Canidae,Cynarctoides acridens,28,14.78,8.93,0.657,3.581,3.24
Canidae,Cynarctoides emryi,19.5,17.34,7.62,0.541,2.236,2.427
Canidae,Cynarctoides gawnae,18.8,17.34,7.87,0.675,2.461,2.574
Canidae,Cynarctoides harlowi,22.2,18.8,6.6,0.62,1.459,1.869
Canidae,Cynarctoides lemur,32.1,19.09,7.38,0.64,2.033,2.29
Canidae,Cynarctoides luskensis,22.6,18.5,7.55,0.58,2.175,2.387
Canidae,Cynarctoides roii,29.75,27.9,6.38,0.628,1.319,1.757
Canidae,Cynarctoides whistleri,29.75,15.9,6.67,0.631,1.505,1.905
Canidae,Cynarctus crucidens,12.2,9.07,11.25,0.54,7.111,4.933
Canidae,Cynarctus galushai,15.97,12.5,16.09,0.672,20.581,9.461
Canidae,Cynarctus marylandica,15.97,14.78,NA,NA,NA,NA
Canidae,Cynarctus saxatilis,15.97,12.5,16.68,0.58,22.905,10.102
Canidae,Cynarctus voorhiesi,12.57,12.11,13.9,0.558,13.328,7.249
Canidae,Cynodesmus martini,30,28,20.1,0.771,39.856,14.185
Canidae,Cynodesmus thooides,32.1,22.2,16.13,0.711,20.734,9.504
Canidae,Desmocyon matthewi,18.8,17.34,14.83,0.674,16.154,8.156
Canidae,Desmocyon thomsoni,28.7,17.34,13.73,0.677,12.849,7.089
Canidae,Ectopocynus antiquus,32.1,27.9,15.4,0.714,18.069,8.735
Canidae,Ectopocynus intermedius,29.75,27.9,18.7,0.743,32.164,12.438
Canidae,Ectopocynus simplicidens,18.8,17.34,22.03,0.723,52.33,16.76
Canidae,Enhydrocyon basilatus,28,19.09,24.5,0.78,71.75,20.337
Canidae,Enhydrocyon crassidens,28,19.09,23.25,0.766,61.415,18.488
Canidae,Enhydrocyon pahinsintewakpa,30,22.2,21.45,0.748,48.344,15.966
Canidae,Enhydrocyon stenocephalus,31.4,22.2,20,0.775,39.27,14.056
Canidae,Epicyon aelurodontoides,9.07,7.5,NA,NA,NA,NA
Canidae,Epicyon haydeni,12.57,4.7,36.25,0.883,229.691,41.49
Canidae,Epicyon saevus,14.78,4.7,29.09,0.718,119.487,27.798
Canidae,Eucyon davisi,15.97,4.7,17.07,0.68,24.532,10.536
Canidae,Eucyon skinneri,12.11,9.07,16.05,0.623,20.43,9.418
Canidae,Euoplocyon brachygnathus,15.97,12.5,18.18,0.722,29.58,11.816
Canidae,Euoplocyon spissidens,18.5,15.97,16.4,0.62,21.781,9.795
Canidae,Hesperocyon coloradensis,33.9,32.1,11.04,0.639,6.724,4.767
Canidae,Hesperocyon gregarius,35.92,27.9,9.53,0.696,4.344,3.647
Canidae,Leptocyon delicatus,28,22.2,6.3,0.735,1.271,1.717
Canidae,Leptocyon douglassi,30,22.2,8.9,0.697,3.546,3.22
Canidae,Leptocyon gregorii,28,18.5,10,0.71,5.012,3.981
Canidae,Leptocyon leidyi,18.8,7.59,10.63,0.683,6.009,4.449
Canidae,Leptocyon matthewi,12.2,9.07,13.09,0.675,11.151,6.499
Canidae,Leptocyon mollis,29.8,27.9,9.38,0.651,4.144,3.543
Canidae,Leptocyon tejonensis,12.5,10.09,11.8,0.629,8.194,5.381
Canidae,Leptocyon vafer,27.9,7.59,11.75,0.685,8.091,5.339
Canidae,Leptocyon vulpinus,28,17.34,10.99,0.692,6.634,4.727
Canidae,Mesocyon brachyops,30.5,22.2,14.63,0.709,15.516,7.957
Canidae,Mesocyon coryphaeus,30.5,23.8,16.75,0.7,23.191,10.179
Canidae,Mesocyon temnodon,33.9,22.2,13.78,0.678,12.989,7.136
Canidae,Metalopex bakeri,7.59,6.7,12.5,0.642,9.724,5.976
Canidae,Metalopex macconnelli,12.57,6.7,12.37,0.695,9.426,5.863
Canidae,Metalopex merriami,9.07,2.63,14.55,0.66,15.265,7.878
Canidae,Metatomarctus canavus,18.8,15.97,17.65,0.66,27.091,11.196
Canidae,Microtomarctus conferta,17.5,12.5,15.86,0.692,19.72,9.216
Canidae,Osbornodon brachypus,19.5,18.5,19.51,0.723,36.481,13.436
Canidae,Osbornodon fricki,17.34,14.78,28.09,0.735,107.696,26.083
Canidae,Osbornodon iamonensis,28,15.97,19.93,0.681,38.863,13.967
Canidae,Osbornodon renjiei,33.9,29.75,12.33,0.667,9.336,5.828
Canidae,Osbornodon sesnoni,32.1,28,14.68,0.7,15.674,8.006
Canidae,Osbornodon wangi,28,22.2,NA,NA,NA,NA
Canidae,Otarocyon cooki,29.75,19.5,6.2,0.613,1.212,1.668
Canidae,Otarocyon macdonaldi,33.9,32.1,6.2,0.661,1.212,1.668
Canidae,Oxetocyon cuspidatus,32.1,27.9,7.63,0.6,2.244,2.433
Canidae,Paracynarctus kelloggi,18.8,9,15.32,0.655,17.792,8.653
Canidae,Paracynarctus sinclairi,15.97,14.78,14.7,0.67,15.737,8.026
Canidae,Paraenhydrocyon josephi,32.1,19.09,14.46,0.71,14.986,7.789
Canidae,Paraenhydrocyon robustus,27,18.5,15.8,0.703,19.499,9.153
Canidae,Paraenhydrocyon wallovianus,28,17.34,19.83,0.71,38.287,13.84
Canidae,Paratomarctus euthos,12.57,9.07,20.34,0.644,41.286,14.494
Canidae,Paratomarctus temerarius,17.5,11.2,18.74,0.704,32.369,12.486
Canidae,Philotrox condoni,30.5,23.8,18.28,0.733,30.066,11.934
Canidae,Phlaocyon achoros,23.8,19.09,8.5,0.651,3.093,2.962
Canidae,Phlaocyon annectens,27.9,18.5,6,0.63,1.099,1.571
Canidae,Phlaocyon latidens,31.4,27.9,8.23,0.651,2.81,2.793
Canidae,Phlaocyon leucosteus,28,15.97,9.76,0.69,4.663,3.809
Canidae,Phlaocyon mariae,18.8,17.34,NA,NA,NA,NA
Canidae,Phlaocyon marslandensis,18.8,17.34,11.2,0.58,7.017,4.893
Canidae,Phlaocyon minor,29.75,17.34,9.5,0.635,4.304,3.626
Canidae,Phlaocyon multicuspus,19.5,18.5,NA,NA,NA,NA
Canidae,Phlaocyon taylori,29.75,17.5,6.87,0.636,1.643,2.01
Canidae,Phlaocyon yatkolai,18.8,17.34,16.2,0.6,21.002,9.579
Canidae,Prohesperocyon wilsoni,35.92,35.24,8.958,0.587,3.615,3.259
Canidae,Protepicyon raki,15.97,12.5,27.5,0.72,101.116,25.095
Canidae,Protomarctus optatus,19.5,14.8,18.28,0.672,30.066,11.934
Canidae,Psalidocyon marianae,15.97,14.78,16,0.669,20.241,9.365
Canidae,Rhizocyon oregonensis,30.5,23.8,9.03,0.658,3.702,3.306
Canidae,Sunkahetanka geringensis,30,23.8,17.63,0.742,27,11.173
Canidae,Tephrocyon rurestris,15.97,12.5,20.8,0.722,44.121,15.096
