Index,Continent,Species Distribution,Order,FAMILY,Genus,Species,synonyms,Common,LogMass (g),Combined.Mass (g),Mass Reference,Mass Status,Status ,IUCN Redlist status,Year Assessed,trophic,trophic ref,habitat mode,MOMv5 vs. MSW3,LAB.COMMENTS.2016,Taxonomy Ref,TO.DO,,,,,,,,,,,,,,,,,,,
37,AF,,Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,Amblysomus iris  ,"Hottentot Golden Mole, Zulu Golden Mole",1.721,52.6,260,update,extant,LC,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Amblysomus hottentotus,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,CHECK MASS; add in mass from A. iris,,,,,,,,,,,,,,,,,,,
76,AF,,Afrosoricida,Chrysochloridae,Calcochloris,obtusirostris,Chrysochloris obtusirostris,Yellow Golden Mole,1.381,24.05,60_ 129,valid,extant,LC,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Calcochloris obtusirostris,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
154,AF,Somalia,Afrosoricida,Chrysochloridae,Calcochloris,tytonis,Amblysomus tytonis|Chlorotalpa tytonis  ,Somali Golden Mole,-999,-999,-999,valid,extant,DD,2015,ginsect,t1,,Genus level change. ,Discarded order; synonym; was Insectivora now is Afrosoricida,IUCN redlist,,,,,,,,,,,,,,,,,,,,
150,AF,,Afrosoricida,Chrysochloridae,Carpitalpa,arendsi,Chlorotalpa arendsi  ,Arend's Golden Mole,1.719,52.35,60_ 129,valid,extant,VU,2015,ginsect,t1,terr- fossorial,Genus level change. Taxonomy possibilities are: AFROSORICIDA Chrysochloridae Carpitalpa arendsi,Discarded order; synonym; was Insectivora now is Afrosoricida,IUCN redlist,,,,,,,,,,,,,,,,,,,,
151,AF,S. Cape Prov._ South Africa,Afrosoricida,Chrysochloridae,Chlorotalpa,duthieae,,Duthie's Golden Mole,-999,-999,-999,valid,extant,VU,2015,ginsect,t1,,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Chlorotalpa duthieae,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
153,AF,Cape Prov._ E orange Free state_ and S Transvaal (south Africa),Afrosoricida,Chrysochloridae,Chlorotalpa,sclateri,,Sclater's Golden Mole,1.613,41,113_ 260,valid,extant,LC,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Chlorotalpa sclateri,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
155,AF,,Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,,Cape Golden Mole,1.69,49,60,valid,extant,LC,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Chrysochloris asiatica,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
156,AF,,Afrosoricida,Chrysochloridae,Chrysochloris,stuhlmanni,,Stuhlmann's Golden Mole,1.6,39.8,60,valid,extant,LC,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Chrysochloris stuhlmanni,,MSW3,,,,,,,,,,,,,,,,,,,,
157,AF,Cape Prov._ South Africa,Afrosoricida,Chrysochloridae,Chrysochloris,visagiei,,Visagie's Golden Mole,1.477,30,230,valid,extant,DD,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Chrysochloris visagiei,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
158,AF,,Afrosoricida,Chrysochloridae,Chrysospalax,trevelyani,,Giant Golden Mole,2.63,426.501,60,valid,extant,EN,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Chrysospalax trevelyani,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
159,AF,,Afrosoricida,Chrysochloridae,Chrysospalax,villosus,,Rough-haired Golden Mole,2.079,119.875,60_ 129,valid,extant,VU,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Chrysospalax villosus,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
283,AF,Cape Prob. South Africa,Afrosoricida,Chrysochloridae,Cryptochloris,wintoni,,De Winton's Golden Mole,-999,-999,-999,valid,extant,CR,2015,ginsect,t1,,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Cryptochloris wintoni,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
284,AF,Cape Prob. South Africa,Afrosoricida,Chrysochloridae,Cryptochloris,zyli,,Van Zyl's Golden Mole,1.398,25,229,valid,extant,EN,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Cryptochloris zyli,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
368,AF,,Afrosoricida,Chrysochloridae,Eremitalpa,granti,Chrysochloris granti,Grant's Golden Mole,1.417,26.1,60,valid,extant,LC,2015,ginsect,t1,terr- fossorial,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Eremitalpa granti,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
36,AF,indeterminate status,Afrosoricida,Chrysochloridae,Neamblysomus,gunningi,Amblysomus gunningi  ,Gunning's Golden Mole,1.449,28.135,196,valid,extant,EN,2015,ginsect,t1,terr- fossorial,Genus level change. Taxonomy possibilities are: AFROSORICIDA Chrysochloridae Neamblysomus gunningi,Discarded order; was Insectivora now Afriosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
39,AF,,Afrosoricida,Chrysochloridae,Neamblysomus,julianae,Amblysomus julianae  ,Juliana's Golden Mole,1.342,22,60,valid,extant,EN,2015,ginsect,t1,terr- fossorial,Genus level change. Taxonomy possibilities are: AFROSORICIDA Chrysochloridae Neamblysomus julianae,Discarded order; was Insectivora now Afriosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
643,AF,,Afrosoricida,Tenrecidae,Micropotamogale,lamottei,,"Nimba Otter Shrew, Pygmy Otter-shrew",1.843,69.6,68,valid,extant,NT,2016,piscivore,t1,terr,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Micropotamogale lamottei,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
644,AF,,Afrosoricida,Tenrecidae,Micropotamogale,ruwenzorii,,"Rwenzori Otter Shrew, Ruwenzori Otter Shrew",1.993,98.501,60,valid,extant,LC,2016,invert,t1,terr,Genus and species name match. Likely taxonomy is AFROSORICIDA Tenrecidae Micropotamogale ruwenzorii,Invalid order (paraphyletic); changed from Insectivora to Afrosoricida,MSW3,,,,,,,,,,,,,,,,,,,,
