"","phylum","class","order","family","genus","accepted_species","verbatim_genus","verbatim_species","accepted_name","taxon_name","NoOccs","InNorAmer","DataCollected"
"1","Chordata","Mammalia","Procreodi","Arctocyonidae","","","Arctocyonidae","","Arctocyonidae","Arctocyonidae",26,TRUE,0
"2","Chordata","Mammalia","Procreodi","Arctocyonidae","","","Arctocyoninae","","Arctocyoninae","Arctocyoninae",0,FALSE,0
"3","Chordata","Mammalia","Procreodi","Arctocyonidae","Landenodon","","Landenodon","","Landenodon","Landenodon",4,FALSE,0
"4","Chordata","Mammalia","Procreodi","Arctocyonidae","Landenodon","woutersi","Landenodon","woutersi","Landenodon woutersi","Landenodon woutersi",4,FALSE,0
"5","Chordata","Mammalia","Procreodi","Arctocyonidae","Landenodon","phelizoni","Landenodon","phelizoni","Landenodon phelizoni","Landenodon phelizoni",1,FALSE,0
"6","Chordata","Mammalia","Procreodi","Arctocyonidae","Landenodon","lavocati","Landenodon","lavocati","Landenodon lavocati","Landenodon lavocati",3,FALSE,0
"7","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","","Chriacus","","Chriacus","Chriacus",37,TRUE,0
"8","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","gallinae","Chriacus","gallinae","Chriacus gallinae","Chriacus gallinae",25,TRUE,4
"9","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","badgleyi","Chriacus","badgleyi","Chriacus badgleyi","Chriacus badgleyi",17,TRUE,3
"10","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","truncatus","Chriacus","truncatus","Chriacus truncatus","Chriacus truncatus",0,FALSE,0
"11","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","katrinae","Chriacus","katrinae","Chriacus katrinae","Chriacus katrinae",1,TRUE,1
"12","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","metocometi","Chriacus","metocometi","Chriacus metocometi","Chriacus metocometi",0,FALSE,1
"13","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","oconostotae","Chriacus","oconostotae","Chriacus oconostotae","Chriacus oconostotae",3,TRUE,1
"14","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","stenops","Chriacus","stenops","Chriacus stenops","Chriacus stenops",0,FALSE,0
"15","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","baldwini","Chriacus","baldwini","Chriacus baldwini","Chriacus baldwini",23,TRUE,5
"16","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","baldwini","Spanoxyodon","latrunculus","Chriacus baldwini","Spanoxyodon latrunculus",23,TRUE,5
"17","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","baldwini","Tricentes","crassicollidens","Chriacus baldwini","Tricentes crassicollidens",23,TRUE,5
"18","Chordata","Mammalia","Procreodi","Arctocyonidae","Chriacus","baldwini","Chriacus","schlosserianus","Chriacus baldwini","Chriacus schlosserianus",23,TRUE,5
