"","phylum","class","order","family","genus","accepted_name","taxon_name"
"129","Chordata","Mammalia","Procreodi","Arctocyonidae","Oxyclaenus","Oxyclaenus corax","Oxyclaenus corax"
"169","Chordata","Mammalia","Condylarthra","Hyopsodontidae","","Hyopsodontidae","Hyopsodontidae"
"214","Chordata","Mammalia","Condylarthra","Hyopsodontidae","","Hyopsodontidae","Mioclaenidae"
"236","Chordata","Mammalia","Condylarthra","Hyopsodontidae","Bomburia","Bomburia","Bomburia"
"237","Chordata","Mammalia","Condylarthra","Hyopsodontidae","Bomburia","Bomburia","Platymastus"
"257","Chordata","Mammalia","Condylarthra","Hyopsodontidae","Litaletes","Litaletes gazini","Litaletes gazini"
"268","Chordata","Mammalia","Condylarthra","Hyopsodontidae","Hyopsodus","Hyopsodus lepidus","Hyopsodus lepidus"
"278","Chordata","Mammalia","Condylarthra","Hyopsodontidae","Hyopsodus","Hyopsodus fastigatus","Hyopsodus fastigatus"
"329","Chordata","Mammalia","NO_ORDER_SPECIFIED","Periptychidae","","Conacodontinae","Conacodontinae"
"311","Chordata","Mammalia","NO_ORDER_SPECIFIED","Periptychidae","Anisonchus","Anisonchus fortunatus","Anisonchus fortunatus"
"389","Chordata","Mammalia","NO_ORDER_SPECIFIED","Phenacodontidae","","Phenacodontidae","Phenacodontidae"
