species,specimen_name,Specimen no.,Formation,Locality,Side,Image No.,FO,LO,Repeat,# of meas.,P2_L,P2_W,P3_L,P3_W,P4_L,P4_W,M1_L,M1_W,M2_L,M2_W,M3_L,M3_W,p2_l,p2_w,p3_l,p3_w,p4_l,p4_w,m1_l,m1_w,m2_l,m2_w,m3_l,m3_w,upP,upM,loP,loM,Notes,Notes,Notes
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",right side,DSC_2878,36.8,32.7,1,14,,,,,,,,,,,,,10.059,7.241,10.464,9.311,10.934,10.123,11.172,8.625,11.261,8.175,16.465,7.644,,,31.37,38.898,recombined with M. bairdi,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",right side,DSC_2878,36.8,32.7,2,14,,,,,,,,,,,,,10.164,7.465,10.73,9.552,11.183,10.118,11.213,8.683,11.416,8.061,16.171,7.745,,,31.661,39.089,,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",right side,DSC_2878,36.8,32.7,3,14,,,,,,,,,,,,,10.08,7.344,10.954,9.586,11.186,10.04,11.199,8.642,11.428,8.228,16.333,7.81,,,31.373,38.992,,,
Mesohippus bairdi,Mesohippus hypostylus ,UM 302,Chadron,"Pennington Co., SD",left side,DSC_2881,36.8,32.7,1,11,,,,,,,,,,,,,,,10.684,9.188,10.844,9.847,11.171,8.358,11.338,7.95,15.83,7.563,,,,38.151,,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",left side,DSC_2881,36.8,32.7,2,11,,,,,,,,,,,,,,,10.808,9.234,10.804,9.665,10.927,8.276,11.116,7.79,15.951,7.464,,,,37.924,,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",left side,DSC_2881,36.8,32.7,3,11,,,,,,,,,,,,,,,10.811,9.272,10.894,9.868,11.048,8.486,11.271,8.078,15.793,7.617,,,,37.976,,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",left side,DSC_2884,36.8,32.7,1,14,9.574,11.144,10.737,13.8,11.1,14.585,11.135,14.282,11.118,14.622,10.926,13.759,,,,,,,,,,,,,31.48,32.287,,,,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",left side,DSC_2884,36.8,32.7,2,14,9.672,11.281,10.453,13.624,11.064,14.665,11.292,14.352,10.764,14.612,10.872,14.063,,,,,,,,,,,,,31.163,32.188,,,,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",left side,DSC_2884,36.8,32.7,3,14,9.728,11.222,10.518,13.714,10.979,14.625,11.282,14.428,10.966,14.625,10.675,14.141,,,,,,,,,,,,,31.246,32.031,,,,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",right side,DSC_2887,36.8,32.7,1,9,10.064,14.139,10.896,14.081,10.649,14.141,10.569,15.465,,,,,,,,,,,,,,,,,32.035,,,,,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",right side,DSC_2887,36.8,32.7,2,9,10.296,14.022,10.772,14.106,10.769,14.127,10.468,15.404,,,,,,,,,,,,,,,,,32.114,,,,,,
Mesohippus bairdi,Mesohippus hypostylus,UM 302,Chadron,"Pennington Co., SD",right side,DSC_2887,36.8,32.7,3,9,10.172,13.933,11.057,14.043,10.86,14.058,10.66,15.383,,,,,,,,,,,,,,,,,32.235,,,,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 21007,Chadron,"Big Badlands, SD",right side,DSC_2890,36.8,32.7,1,14,10.092,12.233,10.264,13.129,10.729,14.101,10.707,13.387,10.715,14.447,9.629,13.94,,,,,,,,,,,,,31.202,31.568,,,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 21007,Chadron,"Big Badlands, SD",right side,DSC_2890,36.8,32.7,2,14,9.853,12.609,10.266,13.079,10.945,13.914,10.796,13.41,10.623,14.355,9.972,13.677,,,,,,,,,,,,,31.013,31.352,,,,,
Mesohippus bairdi,Mesohippus hypostylus,PM 21007,Chadron,"Big Badlands, SD",right side,DSC_2890,36.8,32.7,3,14,9.866,12.646,10.384,13.099,10.78,14.13,10.745,13.612,10.726,14.511,10.142,13.615,,,,,,,,,,,,,30.945,31.392,,,,,
