species,specimen,side,dim,no,length,photo
Longirostromeryx sp.,AMNH JEM 40-698,NA,m1_l,1,6.279,DSCN1968
Longirostromeryx sp.,AMNH JEM 40-698,NA,m1_w,2,3.678,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m1_l,3,6.277,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m1_w,4,3.717,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m1_l,5,6.279,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m1_w,6,3.75,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m2_l,7,7.918,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m2_w,8,4.667,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m2_l,9,7.913,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m2_w,10,4.624,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m2_l,11,7.944,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m2_w,12,4.639,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m3_l,13,9.576,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m3_w,14,6.008,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m3_l,15,9.576,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m3_w,16,6.016,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m3_l,17,9.575,
Longirostromeryx sp.,AMNH JEM 40-698,NA,m3_w,18,5.982,
Longirostromeryx wellsi,AMNH 52992,NA,m2_l,1,8.52,DSCN 1971
Longirostromeryx wellsi,AMNH 52992,NA,m2_w,2,4.684,
Longirostromeryx wellsi,AMNH 52992,NA,m2_l,3,8.576,
Longirostromeryx wellsi,AMNH 52992,NA,m2_w,4,4.64,
Longirostromeryx wellsi,AMNH 52992,NA,m2_l,5,8.568,
Longirostromeryx wellsi,AMNH 52992,NA,m2_w,6,4.731,
Longirostromeryx wellsi,AMNH 52992,NA,m3_l,7,13.143,
Longirostromeryx wellsi,AMNH 52992,NA,m3_w,8,5.584,
Longirostromeryx wellsi,AMNH 52992,NA,m3_l,9,13.118,
Longirostromeryx wellsi,AMNH 52992,NA,m3_w,10,5.515,
Longirostromeryx wellsi,AMNH 52992,NA,m3_l,11,13.146,
Longirostromeryx wellsi,AMNH 52992,NA,m3_w,12,5.408,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p3_l,1,5.222,DSCN1974
Longirostromeryx sp.,AMNH JEM 23-361,NA,p3_w,2,2.101,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p3_l,3,5.207,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p3_w,4,2.131,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p3_l,5,5.183,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p3_w,6,2.153,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p4_l,7,6.563,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p4_w,8,3.618,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p4_l,9,6.416,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p4_w,10,3.742,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p4_l,11,6.539,
Longirostromeryx sp.,AMNH JEM 23-361,NA,p4_w,12,3.639,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m1_l,13,8.273,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m1_w,14,5.069,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m1_l,15,8.312,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m1_w,16,5.01,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m1_l,17,8.309,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m1_w,18,4.99,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m2_l,19,8.474,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m2_w,20,5.775,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m2_l,21,8.407,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m2_w,22,5.735,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m2_l,23,8.573,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m2_w,24,5.696,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m3_l,25,14.383,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m3_w,26,5.767,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m3_l,27,14.2,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m3_w,28,5.793,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m3_l,29,14.236,
Longirostromeryx sp.,AMNH JEM 23-361,NA,m3_w,30,5.821,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p2_l,1,4.177,DSCN1977
Longirostromeryx sp.,AMNH JEM 40-697,NA,p2_w,2,1.92,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p2_l,3,4.191,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p2_w,4,1.899,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p2_l,5,4.185,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p2_w,6,1.899,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p3_l,7,5.846,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p3_w,8,2.702,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p3_l,9,5.865,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p3_w,10,2.667,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p3_l,11,5.851,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p3_w,12,2.548,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p4_l,13,5.669,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p4_w,14,3.318,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p4_l,15,5.623,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p4_w,16,3.285,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p4_l,17,5.6,
Longirostromeryx sp.,AMNH JEM 40-697,NA,p4_w,18,3.288,
Longirostromeryx sp.,AMNH JEM 40-697,NA,m1_l,19,9.318,
Longirostromeryx sp.,AMNH JEM 40-697,NA,m1_w,20,4.126,
Longirostromeryx sp.,AMNH JEM 40-697,NA,m1_l,21,9.357,
Longirostromeryx sp.,AMNH JEM 40-697,NA,m1_w,22,4.14,
Longirostromeryx sp.,AMNH JEM 40-697,NA,m1_l,23,9.343,
Longirostromeryx sp.,AMNH JEM 40-697,NA,m1_w,24,4.138,
Longirostromeryx wellsi,AMNH 52991,NA,p2_l,1,4.207,DSCN1980
Longirostromeryx wellsi,AMNH 52991,NA,p2_w,2,1.992,
Longirostromeryx wellsi,AMNH 52991,NA,p2_l,3,4.184,
Longirostromeryx wellsi,AMNH 52991,NA,p2_w,4,2.016,
Longirostromeryx wellsi,AMNH 52991,NA,p2_l,5,4.122,
Longirostromeryx wellsi,AMNH 52991,NA,p2_w,6,2.026,
Longirostromeryx wellsi,AMNH 52991,NA,p3_l,7,5.243,
Longirostromeryx wellsi,AMNH 52991,NA,p3_w,8,2.69,
Longirostromeryx wellsi,AMNH 52991,NA,p3_l,9,5.221,
Longirostromeryx wellsi,AMNH 52991,NA,p3_w,10,2.672,
Longirostromeryx wellsi,AMNH 52991,NA,p3_l,11,5.179,
Longirostromeryx wellsi,AMNH 52991,NA,p3_w,12,2.606,
Longirostromeryx wellsi,AMNH 52991,NA,p4_l,13,6.173,
Longirostromeryx wellsi,AMNH 52991,NA,p4_w,14,3.323,
Longirostromeryx wellsi,AMNH 52991,NA,p4_l,15,6.169,
Longirostromeryx wellsi,AMNH 52991,NA,p4_w,16,3.309,
Longirostromeryx wellsi,AMNH 52991,NA,p4_l,17,6.089,
Longirostromeryx wellsi,AMNH 52991,NA,p4_w,18,3.319,
Longirostromeryx wellsi,AMNH 52991,NA,m1_l,19,7.651,
Longirostromeryx wellsi,AMNH 52991,NA,m1_w,20,4.546,
Longirostromeryx wellsi,AMNH 52991,NA,m1_l,21,7.613,
Longirostromeryx wellsi,AMNH 52991,NA,m1_w,22,4.522,
Longirostromeryx wellsi,AMNH 52991,NA,m1_l,23,7.68,
Longirostromeryx wellsi,AMNH 52991,NA,m1_w,24,4.546,
Longirostromeryx wellsi,AMNH 52991,NA,m2_l,25,8.022,
Longirostromeryx wellsi,AMNH 52991,NA,m2_w,26,5.335,
Longirostromeryx wellsi,AMNH 52991,NA,m2_l,27,7.932,
Longirostromeryx wellsi,AMNH 52991,NA,m2_w,28,5.343,
