specimen,family,genus,sp_specimen,sp_current,loc_note,formation,member,pbdb,age_max,age_mid,age_min,
AMNH (CMNH?) 1000,Blastomerycidae,Longirostromeryx,Longirostromeryx merriami,Longirostromeryx wellsi,Quinn Ranch,Ash Hollow,Caprock,18335,11.9,11.85,11.8,
AMNH (CMNH?) 1001,Blastomerycidae,Longirostromeryx,Longirostromeryx merriami,Longirostromeryx wellsi,Quinn Ranch,Ash Hollow,Caprock,18335,11.9,11.85,11.8,
AMNH 10967,Blastomerycidae,Longirostromeryx,Longirostromeryx wellsi,Longirostromeryx wellsi,Ca_on Little White River,Ash Hollow,,18087,12.3,12.05,11.8,
AMNH 10968,Blastomerycidae,Longirostromeryx,Longirostromeryx wellsi,Longirostromeryx wellsi,Ca_on Little White River,Ash Hollow,,18087,12.3,12.05,11.8,
AMNH 13224_x,Blastomerycidae,Problastomeryx,Problastomeryx olcotti,Problastomeryx primus,Lusk Area,Anderson Ranch Equivalent,,17840,23.5,21.85,20.2,
AMNH 13224_y,Blastomerycidae,Problastomeryx,Problastomeryx olcotti,Problastomeryx primus,Lusk Area,Anderson Ranch Equivalent,,17840,23.5,21.85,20.2,
AMNH 13224_z,Blastomerycidae,Problastomeryx,Problastomeryx olcotti,Problastomeryx primus,Lusk Area,Anderson Ranch Equivalent,,17840,23.5,21.85,20.2,
AMNH 14101,Blastomerycidae,Blastomeryx,Blastomeryx elegans,Blastomeryx gemmifer,Snake Creek Beds,Olcott,,,,,,
AMNH 17341,Blastomerycidae,Blastomeryx,Blastomeryx elegans,Blastomeryx gemmifer,Snake Creek Beds,Olcott,,,,,,
AMNH 17345,Blastomerycidae,Blastomeryx,Blastomeryx elegans,Blastomeryx gemmifer,Snake Creek Beds,Olcott,,,,,,
AMNH 17348,Blastomerycidae,Blastomeryx,Blastomeryx elegans,Blastomeryx gemmifer,Snake Creek Beds,Olcott,,,,,,
AMNH 31354,Blastomerycidae,Pseudoblastomeryx,Pseudoblastomeryx marsa,Pseudoblastomeryx advena,,Marsland,,17927,19.4,19.4,19.4,
AMNH 31355,Blastomerycidae,Longirostromeryx,Longirostromeryx merriami,Longirostromeryx wellsi,Quinn Ranch,Ash Hollow,Caprock,18335,11.9,11.85,11.8,
AMNH 31360_L,Blastomerycidae,Parablastomeryx,Parablastomeryx gregorii,Parablastomeryx gregorii,Xmas Quarry,Ash Hollow,Merritt Dam,19486,11.6,11.6,11.6,
AMNH 31360_R,Blastomerycidae,Parablastomeryx,Parablastomeryx gregorii,Parablastomeryx gregorii,Xmas Quarry,Ash Hollow,Merritt Dam,19486,11.6,11.6,11.6,
AMNH 31363_l,Blastomerycidae,Parablastomeryx,Parablastomeryx sp.,Parablastomeryx gregorii,Xmas Quarry,Ash Hollow,Merritt Dam,19486,11.6,11.6,11.6,
AMNH 31363_r,Blastomerycidae,Parablastomeryx,Parablastomeryx sp.,Parablastomeryx gregorii,Xmas Quarry,Ash Hollow,Merritt Dam,19486,11.6,11.6,11.6,
AMNH 31365,Blastomerycidae,Parablastomeryx,Parablastomeryx sp.,Parablastomeryx gregorii,Xmas Quarry,Ash Hollow,Merritt Dam,19486,11.6,11.6,11.6,
AMNH 31366,Blastomerycidae,Parablastomeryx,Parablastomeryx sp.,Parablastomeryx gregorii,Xmas Quarry,Ash Hollow,Merritt Dam,19486,11.6,11.6,11.6,
AMNH 31367,Blastomerycidae,Parablastomeryx,Parablastomeryx sp.,Parablastomeryx gregorii,Xmas Quarry,Ash Hollow,Merritt Dam,19486,11.6,11.6,11.6,
AMNH 31369,Blastomerycidae,Parablastomeryx,Parablastomeryx sp.,Parablastomeryx gregorii,Xmas Quarry,Ash Hollow,Merritt Dam,19486,11.6,11.6,11.6,
AMNH 31375,Blastomerycidae,Blastomeryx,Blastomeryx mefferdi,Blastomeryx gemmifer,Devil's Gultch Horse Quarry,Valentine,Devil's Gulch,18124,12.8,12.55,12.3,
AMNH 31376,Blastomerycidae,Blastomeryx,Blastomeryx sp.,Blastomeryx gemmifer,Elliot Place,Valentine,Devil's Gulch,18144,12.8,12.55,12.3,
AMNH 31378,Blastomerycidae,Blastomeryx,Blastomeryx mefferdi,Blastomeryx gemmifer,"Devil's Gulch ""general area"" (1934) - Frick 1937",Valentine,Devil's Gulch,,,,,
AMNH 31381,Blastomerycidae,Blastomeryx,Blastomeryx mefferdi,Blastomeryx gemmifer,Devil's Gultch Talues(?); Devil's Gulch (1934) (Frick 1937),Valentine,Devil's Gulch,,,,,
AMNH 31395,Blastomerycidae,Longirostromeryx,Longirostromeryx novomexicanus,Longirostromeryx wellsi,"Espa_ola, NM",Tesuque,Pojoaque,19535,13.1,13.1,13.1,
AMNH 31398,Blastomerycidae,Longirostromeryx,Longirostromeryx sp.,Longirostromeryx wellsi,"Santa Clara Canyon, Espa_ola",Tesuque,,,13.1,13.1,13.1,
