specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 137417,Bovidae,Addax nasomaculatus,Addax nasomaculatus,Male,9.543,9.812,9.809,13.255,12.992,12.863,16.701,16.966,16.705,17.905,18.026,17.63,24.543,24.791,25.188,34.973,34.973,35.092
FMNH 160011,Bovidae,Addax nasomaculatus,Addax nasomaculatus,Female,8.41,8.569,8.756,11.738,11.621,12.004,15.252,15.239,15.073,17.618,17.142,17.295,23.64,23.482,23.801,31.682,31.9,31.527
FMNH 66888,Bovidae,Addax nasomaculatus,Addax nasomaculatus,Female,9.224,8.966,9.317,12.489,12.053,12.34,14.015,13.954,14.163,17.586,17.926,18.146,19.6,19.757,19.871,30.896,30.944,30.779
FMNH 99009,Bovidae,Addax nasomaculatus,Addax nasomaculatus,Female,8.43,8.106,8.324,12.167,12.349,12.32,14.754,15.051,15.182,19.805,19.744,19.5,25.593,25.068,25.465,33.322,33.225,33.318
FMNH 34472,Bovidae,Aepyceros melampus,Aepyceros melampus,Female,4.78,4.451,4.664,7.723,7.704,7.519,10.253,10.179,10.228,13.424,13.731,13.914,15.553,16.001,15.871,23.699,23.699,23.699
FMNH 34470,Bovidae,Aepyceros melampus melampus,Aepyceros melampus,Female,6.016,6.318,6.113,8.932,9.049,9.049,10.724,11.091,10.914,14.307,14.299,14.307,17.009,17.099,17.377,23.232,23.344,23.491
FMNH 34478,Bovidae,Aepyceros melampus melampus,Aepyceros melampus,Female,6.615,6.615,6.245,7.322,7.304,7.469,9.588,9.791,7.439,14.486,14.167,14.397,17.107,17.009,17.421,24.647,24.641,24.634
FMNH 127888,Bovidae,Aepyceros melampus suara,Aepyceros melampus,Male,5.814,5.914,5.733,7.951,7.914,8.224,9.928,9.811,10.079,14.105,14.299,14.341,16.212,16.33,16.497,21.007,21.331,21.279
FMNH 127890,Bovidae,Aepyceros melampus suara,Aepyceros melampus,Female,6.234,6.889,6.412,9.114,9.048,9.219,10.083,9.994,10.194,14.587,14.618,14.699,18.204,18.319,18.399,22.477,22.974,22.577
FMNH 34458,Bovidae,Alcelaphus buselaphus caama,Alcelaphus buselaphus,Male,8.8,8.38,8.314,12.58,12.278,12.105,15.102,15.423,15.436,20.281,20.281,20.463,24.419,24.611,24.777,26.963,26.926,26.914
FMNH 29552,Bovidae,Alcelaphus buselaphus cokii,Alcelaphus buselaphus,Male,8.289,8.473,8.289,11.486,11.568,11.488,13.445,13.449,13.629,18.325,18.731,18.674,21.092,21.313,21.192,26.113,26.223,26.51
FMNH 29564,Bovidae,Alcelaphus buselaphus jacksoni,Alcelaphus buselaphus,Male,8.866,8.696,8.674,13.404,13.269,13.569,15.188,14.992,14.673,18.167,17.844,18.096,23.215,23.025,23.142,30.389,30.518,30.717
FMNH 29646,Bovidae,Alcelaphus buselaphus lelwel,Alcelaphus buselaphus,Male,7.676,7.857,7.855,10.532,10.895,10.711,11.248,11.424,11.368,14.996,14.996,15,17.952,18.109,18.031,26.608,26.716,26.442
FMNH 26972,Bovidae,Alcelaphus buselaphus swaynei,Alcelaphus buselaphus,Female,2.917,3.099,3.099,8.602,8.584,8.783,11.103,11.103,11.467,16.019,16.201,16.015,19.658,19.84,20.019,28.578,27.925,28.442
FMNH 27128,Bovidae,Alcelaphus buselaphus tora,Alcelaphus buselaphus,Male,8.41,8.152,8.478,11.204,11.533,10.918,14.619,14.389,14.532,18.082,18.082,17.987,21.661,21.365,21.512,29.769,29.833,29.705
FMNH 140886,Bovidae,Alcelaphus lichtensteinii,Alcelaphus lichtensteinii,Male,9.085,9.205,9.069,11.585,11.732,11.431,13.537,13.256,13.566,15.552,15.874,15.711,19.43,19.573,19.28,25.196,25.223,24.977
FMNH 29649,Bovidae,Alcelaphus lichtensteinii,Alcelaphus lichtensteinii,Male,6.355,6.362,6.18,10.982,10.528,10.541,14.459,14.578,14.666,19.978,20.625,20.213,23.828,23.759,23.597,27.956,27.809,27.585
FMNH 35262,Bovidae,Alcelaphus lichtensteinii kongoni,Alcelaphus lichtensteinii,Male,8.092,7.77,7.925,10.575,10.575,10.549,13.915,14.053,13.735,18.178,18.178,17.871,23.323,23.152,23.15,27.443,27.157,27.39
FMNH 15571,Cervidae,Alces Alces americanus,Alces alces,Female,18.199,17.987,18.421,24.693,24.82,24.645,27.044,27.084,27.052,25.537,25.623,25.989,29.228,29.05,29.05,42.981,42.981,42.788
FMNH 20336,Cervidae,Alces gigas,Alces alces,Male,18.737,18.668,18.71,23.365,23.274,23.529,26.937,27.507,26.961,26.417,26.14,26.31,27.429,27.645,27.452,39.091,38.789,38.98
FMNH 55701,Bovidae,Ammotragus lervia,Ammotragus lervia,Male,5.284,5.284,5.129,9.325,9.325,9.171,11.821,11.657,11.505,13.901,13.625,13.32,17.37,17.13,17.234,27.433,27.24,27.567
FMNH 34490,Bovidae,Antidorcas marsupialis hofmeyri,Antidorcas marsupialis,Female,,,,5.468,5.559,5.312,8.818,8.999,9.245,13.193,13.288,13.493,15.695,16.004,15.831,20.413,20.461,20.436
FMNH 34497,Bovidae,Antidorcas marsupialis hofmeyri,Antidorcas marsupialis,Female,,,,4.807,4.711,4.978,9.007,9.001,9.221,12.148,12.229,11.978,15.268,15.443,15.542,27.567,26.912,27.344
FMNH 34498,Bovidae,Antidorcas marsupialis hofmeyri,Antidorcas marsupialis,Male,,,,5.242,5.201,5.345,10.401,10.339,10.579,11.557,11.691,11.315,15.339,15.792,15.712,22.882,23.077,22.935
FMNH 34481,Bovidae,Antidorcas marsupialis marsupialis,Antidorcas marsupialis,Male,,,,3.988,4.001,4.201,7.959,8.001,7.841,12.97,12.887,12.773,15.908,15.843,15.999,22.251,22.22,21.912
FMNH 13881,Bovidae,Antilocapra americana americana,Antilocapra americana,Male,5.779,5.596,5.543,8.379,8.063,7.872,10.149,10.309,10.306,12.038,11.839,11.947,14.139,13.696,13.902,21.313,20.854,21.558
