specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 31746,Suidae,Babirusa alfurus,Babyrousa babyrussa,,7.19,7.222,6.797,11.646,10.897,10.903,10.636,10.77,10.498,14.375,14.089,14.261,17.807,17.664,18.671,27.11,27.115,26.804
FMNH 19000,Suidae,Babirusa babirusa,Babyrousa babyrussa,,,,,13.884,13.546,13.546,12.596,12.097,12.114,11.873,11.558,11.569,16.396,16.054,16.555,24.284,24.305,24.435
FMNH 31744,Suidae,Babirusa batyrussa,Babyrousa babyrussa,,,,,11.319,11.733,11.882,11.273,11.212,11.479,13.732,13.926,13.392,16.735,16.905,17.237,27.279,27.445,27.78
FMNH 31743,Suidae,Babirusa babyrussa,Babyrousa babyrussa,,,,,11.123,11.3,11.459,10.691,10.739,10.466,14.647,14.479,14.671,16.688,16.52,16.697,22.569,22.561,22.56
FMNH 51815,Suidae,Hylochoerus Nodata,Hylochoerus meinertzhageni,,,,,,,,17.241,17.984,17.342,16.158,15.999,16.503,24.492,24.828,25.169,43.403,43.714,44.015
FMNH 49148,Suidae,Hylochoerus meinertzhageni,Hylochoerus meinertzhageni,,,,,,,,8.826,8.908,8.842,17.576,17.568,17.713,27.21,28.015,27.7,47.031,46.052,47.342
FMNH 27530,Suidae,Hylachoerus,Hylochoerus meinertzhageni,,,,,,,,11.36,11.639,12,17.066,16.614,17.046,29.245,29.143,29.112,43.857,43.422,44.064
FMNH 49147,Suidae,Hylochoerus meinertzhangeni,Hylochoerus meinertzhageni,,,,,,,,12.72,12.798,12.298,14.715,14.888,14.888,26.484,26.955,26.48,51.822,51.815,52.142
FMNH 26989,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,5.89,6.023,6.161,9.935,10.264,10.443,17.283,17.452,17.613,52.323,52.327,52.501
FMNH 27130,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,,,,9.652,9.71,9.71,12.865,12.979,12.491,60.186,60.778,60.426
FMNH 20663,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,11.756,12.254,12.254,10.706,11.029,10.706,18.716,18.889,18.883,40.786,40.968,40.953
FMNH 29644,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,11.549,11.136,11.174,10.66,11.181,10.712,16.918,16.75,16.583,42.729,42.463,42.989
FMNH 1295,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,,,,12.954,12.873,12.445,18.348,18.668,18.978,46.604,45.933,46.099
FMNH 127872,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,10.55,10.27,10.072,11.381,11.71,11.208,19.978,20.443,20.632,38.179,38.381,38.058
FMNH 172695,Suidae,Potamochoerus larvatus ,Potamochoerus larvatus ,,,,,11.286,11.048,11.477,16.543,16.221,16.311,13.751,13.902,14.012,20.772,21.216,20.55,33.104,32.879,33.101
FMNH 168971,Suidae,Potamochoerus porcas ,Potamochoerus porcus ,,,,,12.232,12.342,12.226,14.484,14.948,14.552,16.629,16.629,16.63,22.799,22.687,22.907,26.101,25.77,26.101
FMNH 175735,Suidae,Potamochoerus larvatus ,Potamochoerus larvatus ,,,,,11.699,11.472,11.917,15.849,15.534,15.852,17.263,17.048,16.828,21.852,21.525,21.852,33.982,33.762,33.543
FMNH 175755,Suidae,Potamochoerus larvatus ,Potamochoerus larvatus ,,,,,12.5,12.726,12.834,14.676,15.208,14.694,17.035,17.369,16.925,21.46,21.128,21.352,31.65,32.304,32.412
FMNH 175749,Suidae,Potamochoerus larvatus ,Potamochoerus larvatus ,,7.258,7.077,7.383,11.964,11.325,12.191,16.172,15.83,15.614,16.051,15.737,16.051,21.347,20.905,21.57,33.986,34.195,33.97
FMNH 27144,Suidae,Potamochoerus porcus hassama,Potamochoerus porcus ,,,,,12.322,12.431,12.213,14.503,14.612,14.285,15.266,16.029,15.266,20.391,20.391,20.391,31.732,37.84,31.732
FMNH 84011,Suidae,Potamochoerus porus ,Potamochoerus porcus ,,6.529,6.715,6.126,12.64,12.821,12.618,16.089,16.675,16.463,15.48,15.747,15.715,20.689,21.023,20.801,34.704,35.15,34.818
FMNH 38170,Suidae,Potamochoerus porus nyasae,Potamochoerus porcus ,,6.998,7.553,7.442,13.774,13.774,13.885,18.106,18.217,18.217,17.663,17.995,17.662,22.882,22.438,22.66,36.433,36.322,36.211
FMNH 98099,Suidae,Potamochoerus porus nyasae,Potamochoerus porcus ,,6.936,7.002,6.695,13.46,14.241,13.024,15.846,16.173,15.521,11.939,12.048,12.048,20.514,20.405,20.514,40.05,40.489,40.159
FMNH 148194,Suidae,Sus cebifrons,Sus cebifrons,,11.354,11.517,11.185,11.677,11.464,11.382,12.525,12.348,12.406,12.932,13.268,12.95,18.652,18.226,18.546,31.336,31.016,30.91
FMNH 148195,Suidae,Sus cebifrons,Sus cebifrons,,8.409,8.509,8.744,9.516,9.964,9.74,10.436,10.565,10.565,10.972,11.308,11.084,14.89,14.778,14.89,23.735,23.734,23.622
FMNH 148192,Suidae,Sus cebifrons,Sus cebifrons,,10.198,10.222,10.674,11.805,11.805,11.372,11.637,11.867,11.892,13.462,13.68,13.68,16.549,16.549,16.66,25.265,25.265,25.265
FMNH 199858,Suidae,Sus philippensis mindanensis,Sus philippensis,,9.971,10.082,10.304,10.969,11.646,11.88,12.69,12.474,12.714,13.643,13.672,13.545,18.391,18.391,18.391,30.91,30.689,30.91
