collection_no,NOW_loc,collection_name,collection_aka,stratgroup,formation,member,cc,cc.1,state,county,early_interval,late_interval,max_ma,min_ma,diff,notes,
35366,CA0,Los Pocitos,Simojovel,,Simojovel-El Bosque Area Unit C,,MX,MX,Chiapas,,Late Oligocene,,28.4,23.03,5.37,,
35575,CA0,Simojovel (Balumtum Sandstone),UCMP V99089,,Balumtum Sandstone,,MX,MX,Chiapas,,Early Miocene,,23.03,15.97,7.06,,
18744,CA1,Suchilquitongo,,,Suchilquitongo,,MX,MX,Oaxaca,,Miocene,,23.03,5.333,17.697,,
18720,CA10,Corinto,,,,,SV,SV,,,Late Miocene,,11.608,5.333,6.275,,
18724,CA2,El Gramal,Nejapa,,El Camarón,,MX,MX,Oaxaca,,Barstovian,,15.97,13.6,2.37,,
18722,CA2II,El Camarón,Nejapa,,El Camarón,,MX,MX,Oaxaca,,Barstovian,,15.97,13.6,2.37,,
18727,CA2II,La Mancornada,,,,,MX,MX,Oaxaca,,Miocene,,23.03,5.333,17.697,"Tedford et al., 2004 say this is a ""Nejapa site""",
18735,CA2III,Matatlán,,,Matatlán,,MX,MX,Oaxaca,,Early Barstovian,,15.97,13.6,2.37,,
18726,CA3,Ixtapa,,,,,MX,MX,Chiapas,,Miocene,,23.03,5.333,17.697,,
191975,CA7,Escobar Hill,Gaillard Cut,,Cucaracha,,PA,PA,Panama,,Early Hemingfordian,,20.43,15.97,4.46,,
144881,CA7,Contractor’s Hill,,,Cucaracha,,PA,PA,Panama City,,Early Hemingfordian,,20.43,15.97,4.46,,
144879,CA7,Gaillard Cut,,,Cucaracha,,PA,PA,Panama City,,Early Hemingfordian,,20.43,15.97,4.46,,
142889,CA7,Cartagena Hill,,,Cucaracha,,PA,PA,,,Early Hemingfordian,,20.43,15.97,4.46,,
89444,CA7,Centenario Bridge,,,Cucaracha,,PA,PA,,,Early Hemingfordian,,20.43,15.97,4.46,,
18725,CA7,Gaillard Cut,,,Cucaracha,,PA,PA,,,Early Hemingfordian,,20.43,15.97,4.46,,
105889,CA7,Hodges Hill,Hodges Microsite,,Cucaracha,,PA,PA,,,Early Hemingfordian,,20.43,15.97,4.46,,
