m,j,description,r2,intercept,slope,see,pe,n
HBL,HBL,head-body length,0.95,-5.12,3.16,45.54,31.42,91
M3_L,M3_L,M3 length,0.86,1.29,2.81,81.61,48.6,93
M2_L,M2_L,M2 length,0.91,1.06,3.03,64.23,42.21,94
M1_L,M1_L,M1 length,0.92,1.21,3.09,57.76,39.89,94
P4_L,P4_L,P4 length,0.84,1.89,2.8,93.43,58.62,94
P3_L,P3_L,P3 length,0.82,1.96,2.72,101.55,65.27,94
P2_L,P2_L,P2 length,0.72,2.23,2.51,143.66,93.54,88
P1_L,P1_L,P1 length,0.89,2.01,2.89,125.15,80.35,10
m3_l,m3_l,m3 length,0.88,0.8,2.99,78.57,50.29,94
m2_l,m2_l,m2 length,0.92,1.07,3.07,59.09,38.78,94
m1_l,m1_l,m1 length,0.92,1.24,3.11,60.73,42.34,93
p4_l,p4_l,p4 length,0.85,1.59,2.94,89.91,73.67,94
p3_l,p3_l,p3 length,0.8,1.9,2.76,110.69,73.67,89
p2_l,p2_l,p2 length,0.72,2.56,2.38,146.95,90.62,86
M3_W,M3_W,M3 WIDTH,0.82,1.58,2.77,100.57,63.17,93
M2_W,M2_W,M2 WIDTH,0.84,1.51,2.78,94.1,61.02,94
M1_W,M1_W,M1 WIDTH,0.87,1.52,2.83,79.29,52.03,94
P4_W,P4_W,P4 width,0.83,1.91,2.62,94.95,61.54,94
P3_W,P3_W,P3 width,0.77,2.48,2.24,121.21,83.29,94
P2_W,P2_W,P2 width,0.75,2.58,2.3,132.93,92.14,88
P1_W,P1_W,P1 width,0.73,2.67,2.54,253.51,210.05,10
m3_w,m3_w,m3 width,0.83,2.04,2.73,97.52,57.82,94
m2_w,m2_w,m2 width,0.85,1.99,2.75,87.79,50.89,94
m1_w,m1_w,m1 width,0.89,2,2.83,73.37,45.65,93
p4_w,p4_w,p4 width,0.83,2.55,2.47,97.81,61.01,94
p3_w,p3_w,p3 width,0.84,2.72,2.45,95.53,62.21,89
p2_w,p2_w,p2 width,0.8,3.03,2.39,115.34,75.7,86
M3_A,M3_A,M3 area,0.88,1.26,1.47,73.69,44.92,93
M2_A,M2_A,M2 area,0.9,1.23,1.48,69.57,46.17,95
M1_A,M1_A,M1 area,0.92,1.33,1.5,60.07,41.2,95
P4_A,P4_A,P4 area,0.85,1.91,1.35,90.4,58.17,95
m3_a,m3_a,m3 area,0.89,1.32,1.48,75.15,45.55,95
m2_a,m2_a,m2 area,0.91,1.49,1.48,66.7,41.08,95
m1_a,m1_a,m1 area,0.92,1.49,1.48,61.94,41.07,94
p4_a,p4_a,p4 area,0.86,2.07,1.36,88.33,57.38,95
M1_3_A,M1-3_A,upperm molar area,0.91,0.45,1.52,63.28,40.79,93
m1_3_a,m1-3_a,lower molar area,0.91,0.69,1.51,64.02,39.37,94
M1_2_A,M1-2_A,first and second uppe rmolar area,0.91,0.81,1.49,63.64,42.97,95
m1_2_a,m1-2_a,first and second lower molar area,0.92,1.07,1.5,62.66,39.45,94
upM,M1-3_L,upper molar length,0.92,-0.37,3.05,60.3,39.54,93
loM,m1-3_L,lower molar length,0.93,-0.6,3.14,55.82,36.34,94
P4_M3_A,P4-M3_A,upper P4 and molar area,0.91,0.36,1.51,64.25,40.98,93
p4_m3_a,p4-m3_a,lower p4 AND MOLAR AREA,0.91,0.59,1.5,63.13,38.39,94
P4_M3_L,P4-M3_L,upper P4 and molar length,0.92,-0.67,3.07,58.41,38.05,93
p4_m3_l,p4-m3_l,lower p4 and molar length,0.94,-0.94,3.17,53.02,34.51,94
P4_M2_A,P4-M2_A,upper P4 to M2 area,0.9,0.6,1.51,65.64,43.73,93
P4_M2_L,P4-M2_L,upper P4 to M2 length,0.9,-0.28,3,66.54,43.17,93
p4_m2_a,p4-m2_a,lower p4 to m2 area,0.91,0.93,1.48,64.39,41.21,94
p4_m2_l,p4-m2_l,lower p4 to m2 length,0.93,-0.31,3.13,57.04,38.81,94
P3_M3_A,P3-M3_A,upper P3 to M3 area,0.9,0.31,1.5,65.07,41.95,93
p3_m3_a,p3_m3_a,lower p3 to m3 area,0.92,0.52,1.5,61.68,39.06,89
PCRU,PCRU,upper postcanine tooth-row length ,0.91,-1.1,3.07,62.87,41.6,93
PCRL,PCRL,lower postcanine tooth-row length ,0.92,-1.28,3.15,59.43,40.39,94
UPCTA,UPCTA,upper postcanine tooth-row area,0.9,0.29,1.48,68.28,44.85,93
LPCTA,LPCTA,lower postcanine tooth-row area,0.91,0.51,1.48,64.27,40.73,94
