m,j,description,r2,intercept,slope,see,pe,n
HBL,HBL,head-body length,0.99,-5.06,3.17,30.3,22.41,19
M3_L,M3_L,M3 length,0.88,1.49,2.63,119.14,64.05,18
M2_L,M2_L,M2 length,0.95,1.09,2.96,64.63,42.15,19
M1_L,M1_L,M1 length,0.97,1.11,3.11,50.53,34.61,19
P4_L,P4_L,P4 length,0.94,1.16,3.13,74.09,52.76,19
P3_L,P3_L,P3 length,0.98,1.43,2.93,37.35,23.29,19
P2_L,P2_L,P2 length,0.92,1.72,2.75,96.03,52.24,18
P1_L,P1_L,P1 length,0.89,2.01,2.89,125.15,80.35,10
m3_l,m3_l,m3 length,0.89,1.18,2.81,114.01,60.54,19
m2_l,m2_l,m2 length,0.97,1.11,2.98,49.86,30.61,19
m1_l,m1_l,m1 length,0.98,1.04,3.17,39.69,26.52,18
p4_l,p4_l,p4 length,0.97,1.15,3.11,49.91,32.26,19
p3_l,p3_l,p3 length,0.98,1.47,2.94,42.65,27.88,18
p2_l,p2_l,p2 length,0.9,1.89,2.71,113.36,70.61,18
M3_W,M3_W,M3 WIDTH,0.92,1.27,2.88,91.38,58,18
M2_W,M2_W,M2 WIDTH,0.96,1.14,2.9,61.83,39.82,19
M1_W,M1_W,M1 WIDTH,0.97,1.3,2.86,52.25,32.79,19
P4_W,P4_W,P4 width,0.95,1.41,2.81,66.17,40.02,19
P3_W,P3_W,P3 width,0.95,1.66,2.72,68.2,44.31,19
P2_W,P2_W,P2 width,0.93,2.03,2.62,85.05,59.45,18
P1_W,P1_W,P1 width,0.73,2.67,2.54,253.51,210.05,10
m3_w,m3_w,m3 width,0.84,1.9,2.71,153.7,86.15,19
m2_w,m2_w,m2 width,0.89,1.82,2.74,111.35,62.26,19
m1_w,m1_w,m1 width,0.95,1.88,2.79,72.05,44.69,18
p4_w,p4_w,p4 width,0.96,1.7,2.98,61.57,36.57,19
p3_w,p3_w,p3 width,0.98,2.03,2.86,43.51,29.98,18
p2_w,p2_w,p2 width,0.94,2.41,2.75,80.72,53.18,18
M3_A,M3_A,M3 area,0.92,1.32,1.4,94.05,53.68,18
M2_A,M2_A,M2 area,0.96,1.15,1.45,58.9,39.23,20
M1_A,M1_A,M1 area,0.98,1.22,1.48,43.1,29.72,20
P4_A,P4_A,P4 area,0.95,1.33,1.46,65.86,43.75,20
m3_a,m3_a,m3 area,0.88,1.48,1.41,121.97,65.09,20
m2_a,m2_a,m2 area,0.94,1.42,1.46,72.9,42.33,20
m1_a,m1_a,m1 area,0.97,1.44,1.51,51.86,33.36,19
p4_a,p4_a,p4 area,0.97,1.38,1.54,48.76,29.32,20
M1_3_A,M1-3_A,upperm molar area,0.96,0.43,1.48,62.12,38.21,18
m1_3_a,m1-3_a,lower molar area,0.93,0.72,1.47,84.37,48.16,19
M1_2_A,M1-2_A,first and second uppe rmolar area,0.97,0.72,1.47,48.63,33.7,20
m1_2_a,m1-2_a,first and second lower molar area,0.96,0.97,1.49,62.91,38.03,19
UpM,M1-3_L,upper molar length,0.94,-0.24,2.95,72.91,45.24,18
loM,m1-3_L,lower molar length,0.96,-0.39,3.03,63.78,37.19,19
P4_M3_A,P4-M3_A,upper P4 and molar area,0.96,0.22,1.5,53.52,34.11,18
p4_m3_a,p4-m3_a,lower p4 AND MOLAR AREA,0.95,0.49,1.49,72.93,42.93,19
P4_M3_L,P4-M3_L,upper P4 and molar length,0.96,-0.73,3.04,59.77,39.35,18
p4_m3_l,p4-m3_l,lower p4 and molar length,0.97,-0.8,3.06,55.33,32.34,19
P4_M2_A,P4-M2_A,upper P4 to M2 area,0.97,0.37,1.52,44.69,39.08,18
P4_M2_L,P4-M2_L,upper P4 to M2 length,0.93,-0.35,3,81.34,51.42,18
p4_m2_a,p4-m2_a,lower p4 to m2 area,0.97,0.67,1.51,55.02,33.64,19
p4_m2_l,p4-m2_l,lower p4 to m2 length,0.98,-0.43,3.12,38.71,24.02,19
P3_M3_A,P3-M3_A,upper P3 to M3 area,0.97,0.11,1.5,46.21,29.88,18
p3_m3_a,p3_m3_a,lower p3 to m3 area,0.97,0.39,1.49,51.64,32.11,18
PCRU,PCRU,upper postcanine tooth-row length ,0.99,-1.45,3.13,28.94,20.72,18
PCRL,PCRL,lower postcanine tooth-row length ,0.99,-1.47,3.17,31.4,21.87,19
UPCTA,UPCTA,upper postcanine tooth-row area,0.98,-0.01,1.51,36.4,23.66,18
LPCTA,LPCTA,lower postcanine tooth-row area,0.97,0.2,1.52,48.04,30.57,19
