m,j,description,r2,intercept,slope,see,pe,n
HBL,HBL,head-body length,0.98,-4.55,2.97,34.8,23.9,17
M3_L,M3_L,M3 length,0.93,0.8,3.29,70.62,44.7,18
M2_L,M2_L,M2 length,0.94,0.73,3.34,62.34,39.89,18
M1_L,M1_L,M1 length,0.96,1.07,3.21,49.74,35.13,18
P4_L,P4_L,P4 length,0.91,1.6,3.05,82.04,52.26,18
P3_L,P3_L,P3 length,0.86,1.4,3.13,108.85,63.28,18
P2_L,P2_L,P2 length,0.86,1.31,3.26,110.2,66.82,18
P1_L,P1_L,P1 length,NA,NA,NA,NA,NA,NA
m3_l,m3_l,m3 length,0.93,0.35,3.35,70.76,47.24,18
m2_l,m2_l,m2 length,0.94,0.72,3.41,62.16,38.86,18
m1_l,m1_l,m1 length,0.94,1.12,3.21,64.83,46.48,18
p4_l,p4_l,p4 length,0.9,1.3,3.11,88.97,57.05,18
p3_l,p3_l,p3 length,0.84,1.31,3.19,123.27,80.14,18
p2_l,p2_l,p2 length,0.81,2.06,2.75,137.32,75.5,18
M3_W,M3_W,M3 WIDTH,0.89,1.25,2.97,93.27,53.61,18
M2_W,M2_W,M2 WIDTH,0.9,1.08,3.08,85.24,53.86,18
M1_W,M1_W,M1 WIDTH,0.91,1.2,3.08,84.38,57.68,18
P4_W,P4_W,P4 width,0.91,1.62,2.85,81.83,54.61,18
P3_W,P3_W,P3 width,0.88,2.14,2.49,101.54,66.95,18
P2_W,P2_W,P2 width,0.86,2.32,2.44,108.03,69.71,18
P1_W,P1_W,P1 width,NA,NA,NA,NA,NA,NA
m3_w,m3_w,m3 width,0.89,1.81,2.88,92.48,58.95,18
m2_w,m2_w,m2 width,0.89,1.76,2.92,93.15,58.84,18
m1_w,m1_w,m1 width,0.92,1.89,2.89,77.39,50.4,18
p4_w,p4_w,p4 width,0.87,2.48,2.47,103.21,69.91,18
p3_w,p3_w,p3 width,0.9,2.6,2.49,89.56,56.63,18
p2_w,p2_w,p2 width,0.84,2.9,2.42,121.14,86.05,18
M3_A,M3_A,M3 area,0.92,0.98,1.59,74.16,45.31,18
M2_A,M2_A,M2 area,0.93,0.89,1.62,70.22,44.51,18
M1_A,M1_A,M1 area,0.94,1.11,1.58,63.84,44.94,18
P4_A,P4_A,P4 area,0.91,1.6,1.48,79.73,53.36,18
m3_a,m3_a,m3 area,0.92,1.11,1.56,77.3,50.52,18
m2_a,m2_a,m2 area,0.92,1.25,1.59,73.39,47.19,18
m1_a,m1_a,m1 area,0.93,1.51,1.53,67.46,46.32,18
p4_a,p4_a,p4 area,0.89,1.94,1.39,92.39,62.88,18
M1_3_A,M1-3_A,upperm molar area,0.93,0.19,1.61,66.59,42.95,18
m1_3_a,m1-3_a,lower molar area,0.93,0.5,1.57,69.87,45.88,18
M1_2_A,M1-2_A,first and second uppe rmolar area,0.94,0.5,1.61,66.08,43.58,18
m1_2_a,m1-2_a,first and second lower molar area,0.93,0.88,1.57,68.62,45.96,18
upM,M1-3_L,upper molar length,0.95,-0.76,3.32,55.82,36.61,18
loM,m1-3_L,lower molar length,0.95,-0.96,3.38,57.58,38.66,18
P4_M3_A,P4-M3_A,upper P4 and molar area,0.93,0.12,1.59,67.17,43.52,18
p4_m3_a,p4-m3_a,lower p4 AND MOLAR AREA,0.93,0.45,1.54,71.75,47.15,18
P4_M3_L,P4-M3_L,upper P4 and molar length,0.95,-0.99,3.28,58.18,38.09,18
p4_m3_l,p4-m3_l,lower p4 and molar length,0.94,-1.23,3.34,61.52,41.16,18
P4_M2_A,P4-M2_A,upper P4 to M2 area,0.93,0.39,1.58,67.65,44.78,18
P4_M2_L,P4-M2_L,upper P4 to M2 length,0.95,-0.58,3.23,56.68,38.37,18
p4_m2_a,p4-m2_a,lower p4 to m2 area,0.92,0.78,1.53,72.71,49.09,18
p4_m2_l,p4-m2_l,lower p4 to m2 length,0.94,-0.57,3.29,64.98,45.11,18
P3_M3_A,P3-M3_A,upper P3 to M3 area,0.93,0.07,1.57,69.17,43.75,18
p3_m3_a,p3_m3_a,lower p3 to m3 area,0.92,0.38,1.53,73.17,47.47,18
PCRU,PCRU,upper postcanine tooth-row length ,0.94,-1.54,3.31,65.98,40.83,18
PCRL,PCRL,lower postcanine tooth-row length ,0.93,-1.63,3.32,70.12,43.8,18
UPCTA,UPCTA,upper postcanine tooth-row area,0.93,0.02,1.56,70.74,44.6,18
LPCTA,LPCTA,lower postcanine tooth-row area,0.92,0.36,1.52,74.81,48.22,18
