clade,order,family,genus,JanReg,DamReg
Artiodactyla,Artiodactyla,Achaenodontidae,NA,ruminantia,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,Agriochoeridae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Anthracotheriidae,NA,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,Antilocapridae,NA,ruminantia,DamuthSelenodontNonBrowsers
Artiodactyla,Artiodactyla,Bovidae,NA,ruminantia,DamuthSelenodontNonBrowsers
Artiodactyla,Artiodactyla,Camelidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Camelidae,Poebrotherium,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Camelidae,Protomeryx,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Camelidae,Blickomylus,ruminantia,DamuthSelenodontNonBrowsers
Artiodactyla,Artiodactyla,Camelidae,Miotylopus,ruminantia,DamuthSelenodontNonBrowsers
Artiodactyla,Artiodactyla,Camelidae,Rakomylus,ruminantia,DamuthSelenodontNonBrowsers
Artiodactyla,Artiodactyla,Camelidae,Stenomylus,ruminantia,DamuthSelenodontNonBrowsers
Artiodactyla,Artiodactyla,Cervidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Diacodexeidae,NA,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,Dichobunidae,NA,ungulate,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Entelodontidae,NA,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,Gelocidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Giraffidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Helohyidae,Achaenodon,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,Helohyidae,NA,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,Homacodontidae,NA,ungulate,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Hypertragulidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Hypisodontidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Leptochoeridae,NA,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,Leptomerycidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Merycoidodontidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Moschidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,NA,Brachyhyops,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,NA,Chaenohyus,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,NA,Diacodexis,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,NA,Ibarus,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,NA,Laredochoerus,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,NA,Simpsonodus,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,NA,Antiacodon,ungulate,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,NA,Apriculus,ungulate,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,NA,Boreameryx,ungulate,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,NA,Delahomeryx,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,NA,Hexacodus,ungulate,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Oreodontidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Oromerycidae,Camelodon,ungulate,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Oromerycidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Palaeomerycidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Praetragulidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Protoceratidae,NA,ruminantia,DamuthSelenodontBrowsers
Artiodactyla,Artiodactyla,Suidae,NA,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,Tayassuidae,NA,ungulate,DamuthNonSelenodonts
Artiodactyla,Artiodactyla,Tragulidae,NA,ruminantia,DamuthSelenodontBrowsers
Condylarthra,Condylarthra,Arctocyonidae,NA,ungulate,DamuthNonSelenodonts
Condylarthra,Condylarthra,Chriacidae,NA,ungulate,DamuthNonSelenodonts
Condylarthra,Condylarthra,Hyopsodontidae,NA,ungulate,DamuthNonSelenodonts
Condylarthra,Condylarthra,Periptychidae,NA,ungulate,DamuthNonSelenodonts
Condylarthra,Condylarthra,Phenacodontidae,NA,ungulate,DamuthNonSelenodonts
Dinocerata,Dinocerata,Prodinoceratidae,NA,ungulate,DamuthNonSelenodonts
Dinocerata,Dinocerata,Uintatheriidae,NA,ungulate,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Amynodontidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Brontotheriidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Chalicotheriidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Eomoropidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Equidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Helaletidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Hyrachyidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Hyracodontidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Isectolophidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Lophiodontidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Cardiolophus,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Desmatotherium,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Fouchia,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Grangeria,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Helaletes,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Heptodon,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Hesperaletes,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Homogalax,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Isectolophus,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Lambdotherium,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Meniscotherium,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Mesolambdolophus,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Phenacodus,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Schizotheriodes,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Selenaletes,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Systemodon,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Thuliadanta,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,NA,Toxotherium,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Palaeotheriidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Rhinocerotidae,NA,perissodactyla,DamuthNonSelenodonts
Perissodactyla,Perissodactyla,Tapiridae,NA,perissodactyla,DamuthNonSelenodonts
Pantodonta,Cimolesta,Pantolambdidae,NA,ungulate,DamuthNonSelenodonts
Pantodonta,Cimolesta,Barylambdidae,NA,ungulate,DamuthNonSelenodonts
Pantodonta,Cimolesta,Cyriacotheriidae,NA,ungulate,DamuthNonSelenodonts
Pantodonta,Cimolesta,Titanoideidae,NA,ungulate,DamuthNonSelenodonts
Pantodonta,Cimolesta,Coryphodontidae,NA,ungulate,DamuthNonSelenodonts
Tillodontia,Cimolesta,Esthonychidae,NA,ungulate,DamuthNonSelenodonts
Tillodontia,Cimolesta,NA,Azygonyx,ungulate,DamuthNonSelenodonts
Taeniodonta,NA,Conoryctidae,NA,ungulate,DamuthNonSelenodonts
Taeniodonta,NA,Stylinodontidae,NA,ungulate,DamuthNonSelenodonts
Taeniodonta,NA,NA,Onychodectes,ungulate,DamuthNonSelenodonts
Condylarthra,Condylarthra,NA,Desmatoclaenus,ungulate,DamuthNonSelenodonts
Pantodonta,Cimolesta,NA,Crustulus,ungulate,DamuthNonSelenodonts
