,occurrences.order_name,occurrences.family_name,occurrences.parent_name,occurrences.genus_name,taxon,reg,,
39,Artiodactyla,Achaenodontidae,Achaenodontidae,Parahyus,Parahyus vagus,ruminantia,,
40,Artiodactyla,Agriochoeridae,Agriochoeridae,Agriochoerus,Agriochoerus antiquus,ruminantia,,
41,Artiodactyla,Agriochoeridae,Agriochoeridae,Agriochoerus,Agriochoerus crassus,ruminantia,,
42,Artiodactyla,Agriochoeridae,Agriochoeridae,Agriochoerus,Agriochoerus gaudryi,ruminantia,,
43,Artiodactyla,Agriochoeridae,Agriochoeridae,Agriochoerus,Agriochoerus guyotianus,ruminantia,,
44,Artiodactyla,Agriochoeridae,Agriochoeridae,Agriochoerus,Agriochoerus maximus,ruminantia,,
45,Artiodactyla,Agriochoeridae,Agriochoeridae,Diplobunops,Diplobunops matthewi,ruminantia,,
46,Artiodactyla,Agriochoeridae,Agriochoeridae,Protoreodon,Protoreodon minimus,ruminantia,,
47,Artiodactyla,Agriochoeridae,Agriochoeridae,Protoreodon,Protoreodon minor,ruminantia,,
48,Artiodactyla,Agriochoeridae,Agriochoeridae,Protoreodon,Protoreodon pacificus,ruminantia,,
49,Artiodactyla,Agriochoeridae,Agriochoeridae,Protoreodon,Protoreodon parvus,ruminantia,,
50,Artiodactyla,Agriochoeridae,Agriochoeridae,Protoreodon,Protoreodon pearcei,ruminantia,,
51,Artiodactyla,Agriochoeridae,Agriochoeridae,Protoreodon,Protoreodon petersoni,ruminantia,,
52,Artiodactyla,Agriochoeridae,Agriochoeridae,Protoreodon,Protoreodon pumilus,ruminantia,,
53,Artiodactyla,Agriochoeridae,Agriochoeridae,Protoreodon,Protoreodon transmontanus,ruminantia,,
54,Artiodactyla,Agriochoeridae,Agriochoeridae,Protoreodon,Protoreodon walshi,ruminantia,,
55,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Aepinacodon,Aepinacodon americanus,ungulate,,
56,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Aepinacodon,Aepinacodon deflectus,ungulate,,
57,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Arretotherium,Arretotherium acridens,ungulate,,
58,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Arretotherium,Arretotherium fricki,ungulate,,
59,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Arretotherium,Arretotherium leptodus,ungulate,,
60,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Bothriodon,Bothriodon advena,ungulate,,
61,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Bothriodon,Bothriodon rostratus,ungulate,,
64,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Heptacodon,Heptacodon curtus,ungulate,,
65,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Heptacodon,Heptacodon gibbiceps,ungulate,,
66,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Heptacodon,Heptacodon occidentale,ungulate,,
67,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Heptacodon,Heptacodon pellionis,ungulate,,
68,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Heptacodon,Heptacodon yeguaensis,ungulate,,
69,Artiodactyla,Anthracotheriidae,Anthracotheriidae,Kukusepasutanka,Kukusepasutanka schultzi,ungulate,,
62,Artiodactyla,Anthracotheriidae,Bothriodontinae,Elomeryx,Elomeryx armatus,ungulate,,
63,Artiodactyla,Anthracotheriidae,Bothriodontinae,Elomeryx,Elomeryx garbanii,ungulate,,
70,Artiodactyla,Antilocapridae,Antilocapridae,Antilocapra,Antilocapra americana,ruminantia,,
77,Artiodactyla,Antilocapridae,Antilocapridae,Cosoryx,Cosoryx cerroensis,ruminantia,,
78,Artiodactyla,Antilocapridae,Antilocapridae,Cosoryx,Cosoryx furcatus,ruminantia,,
80,Artiodactyla,Antilocapridae,Antilocapridae,Hayoceros,Hayoceros falkenbachi,ruminantia,,
81,Artiodactyla,Antilocapridae,Antilocapridae,Hexameryx,Hexameryx simpsoni,ruminantia,,
83,Artiodactyla,Antilocapridae,Antilocapridae,Ilingoceros,Ilingoceros alexandrae,ruminantia,,
84,Artiodactyla,Antilocapridae,Antilocapridae,Ilingoceros,Ilingoceros schizoceros,ruminantia,,
85,Artiodactyla,Antilocapridae,Antilocapridae,Merriamoceros,Merriamoceros coronatus,ruminantia,,
86,Artiodactyla,Antilocapridae,Antilocapridae,Merycodus,Merycodus crucensis,ruminantia,,
87,Artiodactyla,Antilocapridae,Antilocapridae,Merycodus,Merycodus hookwayi,ruminantia,,
