family,species,Published name,specimen,nj,n,P2_L,P2_W,P3_L,P3_W,P4_L,P4_W,M1_L,M1_W,M2_L,M2_W,M3_L,M3_W,p2_l,p2_w,p3_l,p3_w,p4_l,p4_w,m1_l,m1_w,m2_l,m2_w,m3_l,m3_w,upP,upM,loP,loM,Reference,PaleoDB ref,occ_no,Notes,,,,,,,,,,
Achaenodontidae,Achaenodon fremdi,,OMSI 590,2,6,,,,,23.2,25.6,29.1,28.5,29,32,,,,,,,,,,,,,,,,,,,Lucas et al. 2004,19554,,,,,,,,,,,,
Achaenodontidae,Achaenodon insolens,,AMNH 5143 (type),5,5,,,,,,,,,,,,,,,24,17.5,,,,,26.7,22.5,40,,,,,,Gazin 1955,1608,,,,,,,,,,,,
Achaenodontidae,Achaenodon robustus,,PU 10033,12,20,,,29,16.5,23,27.5,21.8,25.8,24.5,31.8,26.7,30,,,24.4,14.3,30,17.5,22.5,17.5,24.2,19.5,36.8,23,,70,,,Gazin 1955,1608,,,,,,,,,,,,
Achaenodontidae,Achaenodon uintensis,,AMNH 1822 (type),2,10,,,32,23.5,27.5,35.5,25,31,27,37,32.5,36,,,,,,,,,,,,,,83.5,,,Gazin 1955,1608,,,,,,,,,,,,
Achaenodontidae,Parahyus vagus,,TMM 42287-15,2,2,,,,,,,,,,,,,,,19.4,10.2,,,,,,,,,,,,,West 1982,3605,,,,,,,,,,,,
Achaenodontidae,Parahyus vagus,,YPM 10972 (holotype of Parahyus vagus),10,10,,,,,,,,,,,,,,,19,9.7,26,12.8,19.3,13,21.1,14.8,34.8,17,,,,75,Gazin 1955,1608,,,,,,,,,,,,
Achaenodontidae,Parahyus vagus,,YPM 10972 (holotype of Parahyus vagus),4,4,,,,,,,,,,,,,,,,,,,19,13,,,34,17,,,,,Marsh 1876,57304,,,,,,,,,,,,
Agriochoeridae,Agriochoerus antiquus,,AMNH 1490,7,12,8,,11,,11,,13,,17,,18,,9,,9,,12,,12,,13,,23,,,,,,Scott 1940,3091,,,,,,,,,,,,
Agriochoeridae,Agriochoerus antiquus,,AMNH 3884,7,12,9,,11,,13.5,,14.5,,18,,19,,7,,9.5,,12,,11,,14.5,,25,,,,,,Scott 1940,3091,,,,,,,,,,,,
Agriochoeridae,Agriochoerus antiquus,,ANSP 10665 (holotype of Agriochoerus antiquus),6,11,8.5,,10,,11,,13.5,,16,,19,,,,11,,12,,13,,14,,27,,,,,,Scott 1940,3091,,,,,,,,,,,,
Agriochoeridae,Agriochoerus antiquus,Agriochoerus antiquus dakotensis,YPM 10106 (holotype of Agriochoerus antiquus dakotensis),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,43,38.7,47.2,Thorpe 1921,3411,,,,,,,,,,,,
Agriochoeridae,Agriochoerus antiquus,Agriochoerus antiquus antiquus,YPM 12657,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,Thorpe 1921,3411,,,,,,,,,,,,
Agriochoeridae,Agriochoerus antiquus,Agriochoerus antiquus antiquus,YPM 12666,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,27,53,Thorpe 1921,3411,,,,,,,,,,,,
Agriochoeridae,Agriochoerus crassus,Diplobunops crassus,CM 11301,2,6,,,,,,,13,14,13,15,15,18,,,,,,,,,,,,,,40,,,Scott 1945,3093,,,,,,,,,,,,
Agriochoeridae,Agriochoerus crassus,Diplobunops crassus,CM 11769,2,6,,,,,,,11,15,12,18,14,21,,,,,,,,,,,,,,37,,,Scott 1945,3093,,,,,,,,,,,,
Agriochoeridae,Agriochoerus crassus,Diplobunops crassus,CM 2967 (holotype of Agriochoerus crassus),2,12,10,5,11,12,11,14.5,15,17,17,20,17.5,22.5,,,,,,,,,,,,,41,45,,,Scott 1945,3093,,,,,,,,,,,,
Agriochoeridae,Agriochoerus crassus,,CM 2967 (holotype of Agriochoerus crassus),2,12,10.6,5.6,12,10,11,13.8,13.6,16.8,15.7,19.7,17.5,22.3,,,,,,,,,,,,,59.6,46.7,,,Gazin 1955,1608,,,,,,,,,,,,
Agriochoeridae,Agriochoerus gaudryi,Agriochoerus migrans,YPM 10102 (holotype of Agriochoerus migrans),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,Thorpe 1921,3411,,,,,,,,,,,,
Agriochoeridae,Agriochoerus guyotianus,Coloreodon ferox,holotype of Coloreodon ferox,2,2,,,,,,,,,16,17,,,,,,,,,,,,,,,,66,,,Cope 1879,53291,,,,,,,,,,,,
Agriochoeridae,Agriochoerus guyotianus,Coloreodon macrocephalus,holotype of Coloreodon macrocephalus,0,0,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,Cope 1879,53291,,,,,,,,,,,,
Agriochoeridae,Agriochoerus guyotianus,Agriochoerus cf. A. ryderanus,KUMVP 112,2,6,,,,,,,9.6,10.5,12.8,14.1,14,16,,,,,,,,,,,,,,,,,Galbreath 1953,1570,,,,,,,,,,,,
Agriochoeridae,Agriochoerus guyotianus,Agriochoerus cf. A. ryderanus,KUMVP 4955,2,6,,,,,,,10.9,11.7,12.4,13.7,14.3,17,,,,,,,,,,,,,,35.8,,,Galbreath 1953,1570,,,,,,,,,,,,
