specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 137417,Bovidae,Addax nasomaculatus,Addax nasomaculatus,Male,6.945,7.365,7.007,10.341,10.338,10.198,11.47,11.896,11.53,13.748,13.878,13.736,14.875,14.875,14.875,15.123,15.158,15.387
FMNH 160011,Bovidae,Addax nasomaculatus,Addax nasomaculatus,Female,6.485,6.474,6.127,8.847,9.189,9.187,11.57,11.91,11.57,12.09,11.929,11.953,12.689,12.998,13.046,11.925,11.685,11.595
FMNH 66888,Bovidae,Addax nasomaculatus,Addax nasomaculatus,Female,7.407,7.718,7.743,9.376,9.744,9.545,11.222,11.392,10.982,12.246,12.246,12.13,14.148,14.382,14.275,15.565,15.495,15.362
FMNH 99009,Bovidae,Addax nasomaculatus,Addax nasomaculatus,Female,8.208,8.504,8.81,9.543,9.722,9.388,9.578,9.899,9.882,12.493,12.763,13.023,14.616,14.641,14.735,14.518,14.822,14.505
FMNH 34472,Bovidae,Aepyceros melampus,Aepyceros melampus,Female,4.277,4.289,4.391,5.559,5.991,5.493,6.498,6.391,6.491,8.519,8.641,8.731,9.584,9.617,9.988,9.718,9.497,9.679
FMNH 34470,Bovidae,Aepyceros melampus melampus,Aepyceros melampus,Female,4.529,4.677,4.918,5.679,5.678,5.499,6.629,6.701,6.691,8.257,8.641,8.344,9.191,9.249,9.346,8.057,8.053,8.204
FMNH 34478,Bovidae,Aepyceros melampus melampus,Aepyceros melampus,Female,3.767,3.761,3.679,5.573,5.91,5.607,6.553,6.551,6.61,7.887,7.881,7.917,9.981,10.491,10.098,9.763,9.904,9.837
FMNH 127888,Bovidae,Aepyceros melampus suara,Aepyceros melampus,Male,3.993,4.001,4,5.741,5.614,5.553,6.689,6.991,6.721,8.815,8.924,9.079,9.471,9.661,9.423,9.618,10.004,9.819
FMNH 127890,Bovidae,Aepyceros melampus suara,Aepyceros melampus,Female,4.657,4.679,4.733,5.93,5.812,6.041,7.189,7.691,7.124,8.295,8.216,8.348,9.145,9.246,9.114,9.261,9.614,9.433
FMNH 34458,Bovidae,Alcelaphus buselaphus caama,Alcelaphus buselaphus,Male,5.212,4.968,5.179,7.937,7.792,7.778,10.219,9.92,10.071,10.991,11.443,11.135,12.058,11.953,11.953,10.986,10.829,10.982
FMNH 29552,Bovidae,Alcelaphus buselaphus cokii,Alcelaphus buselaphus,Male,5.351,5.758,5.616,8.217,8.213,8.451,9.452,9.301,9.551,11.337,11.32,11.491,10.762,10.873,10.564,10.1,10.391,10.113
FMNH 29564,Bovidae,Alcelaphus buselaphus jacksoni,Alcelaphus buselaphus,Male,5.01,5.153,5.017,6.989,6.888,6.945,8.613,8.659,8.813,11.536,11.258,11.137,11.97,12.078,12.08,11.168,11.358,11.505
FMNH 29646,Bovidae,Alcelaphus buselaphus lelwel,Alcelaphus buselaphus,Male,6.072,5.919,5.964,7.275,7.153,7.153,8.798,8.809,8.153,10.268,10.095,10.109,10.769,11.035,10.887,10.402,10.364,10.264
FMNH 26972,Bovidae,Alcelaphus buselaphus swaynei,Alcelaphus buselaphus,Female,5.643,5.322,5.95,8.514,8.301,8.614,11.426,11.899,11.435,11.443,11.634,11.464,13.097,12.794,12.946,13.182,13.241,13.133
FMNH 27128,Bovidae,Alcelaphus buselaphus tora,Alcelaphus buselaphus,Male,5.713,5.808,5.897,8.038,7.718,8.034,9.134,9.766,9.313,11.979,11.979,11.664,10.711,10.88,10.213,10.594,10.66,10.281
FMNH 140886,Bovidae,Alcelaphus lichtensteinii,Alcelaphus lichtensteinii,Male,5.088,4.872,5.054,7.312,7.598,7.153,9.713,9.596,9.713,11.4,11.534,11.31,10.718,10.651,10.893,10.649,10.387,10.512
FMNH 29649,Bovidae,Alcelaphus lichtensteinii,Alcelaphus lichtensteinii,Male,4.901,4.727,4.952,6.521,6.396,6.433,9.407,9.272,9.252,10.393,10.661,10.393,10.495,10.424,10.501,9.256,9.382,9.466
FMNH 35262,Bovidae,Alcelaphus lichtensteinii kongoni,Alcelaphus lichtensteinii,Male,3.912,4.264,4.335,6.95,7.16,6.996,8.621,8.601,8.796,9.971,9.714,9.833,10.845,10.954,10.756,9.79,9.412,9.689
FMNH 15571,Cervidae,Alces alces americanus,Alces alces,Female,15.182,14.799,14.775,16.439,16.631,16.259,17.674,17.483,17.674,19.926,20.388,20.308,20.358,20.451,20.647,21.747,21.958,22.25
FMNH 20336,Cervidae,Alces alces gigas,Alces alces,Male,13.824,13.394,13.634,16.942,17.098,17.195,18.499,18.674,18.49,19.088,18.971,19.259,20.485,20.303,20.481,21.061,20.899,20.857
