specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 31746,Suidae,Babirusa alfurus,Babyrousa babyrussa,,4.819,5.16,4.656,6.899,7.051,7.225,8.085,8.085,8.085,10.012,10.492,10.16,12.909,13.416,13.243,13.419,13.763,14.12
FMNH 19000,Suidae,Babirusa babirusa,Babyrousa babyrussa,,,,,6.208,6.022,6.355,8.002,7.86,8.194,10.201,9.712,10.568,13.549,13.378,12.713,13.228,13.629,13.082
FMNH 31744,Suidae,Babirusa batyrussa,Babyrousa babyrussa,,,,,5.355,5.522,5.859,8.207,8.2,7.872,10.71,10.877,10.877,13.054,13.22,13.726,13.891,13.732,13.891
FMNH 31743,Suidae,Babirusa babyrussa,Babyrousa babyrussa,,,,,5.734,6.231,6.061,7.751,7.914,7.576,10.807,10.78,10.944,11.479,12.294,11.964,12.459,12.29,12.459
FMNH 51815,Suidae,Hylochoerus Nodata,Hylochoerus meinertzhageni,,,,,,,,9.693,9.354,9.694,14.454,14.965,14.455,16.381,16.668,16.666,20.577,20.587,20.417
FMNH 49148,Suidae,Hylochoerus meinertzhageni,Hylochoerus meinertzhageni,,,,,,,,9.833,10.628,10.304,13.689,14.329,14.172,17.874,18.355,17.711,19.009,19.16,19.321
FMNH 27530,Suidae,Hylachoerus,Hylochoerus meinertzhageni,,,,,,,,7.344,7.981,7.821,12.307,12.778,13.092,19.037,19.674,19.186,19.155,18.835,19.11
FMNH 49147,Suidae,Hylochoerus meinertzhangeni,Hylochoerus meinertzhageni,,,,,,,,8.982,9.151,8.987,11.921,12.085,12.412,17.474,17.963,16.996,19.436,19.597,20.086
FMNH 26989,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,4.994,5.28,4.788,7.763,7.948,7.515,12.404,12.229,12.051,13.416,13.205,12.871
FMNH 27130,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,,,,8.145,7.811,8.309,12.63,12.465,13.129,8.145,7.811,8.309
FMNH 20663,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,7.87,7.694,8.021,10.215,10.549,10.863,13.369,13.702,13.385,13.034,13.201,13.035
FMNH 29644,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,8.879,9.047,8.543,11.39,11.253,10.722,14.914,14.409,15.251,14.07,13.736,13.242
FMNH 1295,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,,,,7.216,7.727,7.423,12.445,12.415,12.415,14.001,13.978,13.914
FMNH 127872,Suidae,Phacochoerus aethiopicus aeliani,Phacochoerus aethiopicus,,,,,,,,7.536,6.859,7.361,9.709,10.043,9.87,14.387,14.554,14.722,15.065,14.737,15.071
FMNH 172695,Suidae,Potamochoerus larvatus ,Potamochoerus larvatus ,,,,,6.458,6.446,6.668,10.567,10.784,10.789,13.119,13,13.588,16.204,16.131,16.392,18.109,17.994,18.217
FMNH 168971,Suidae,Potamochoerus porcas ,Potamochoerus porcus ,,,,,7.382,7.052,7.492,11.234,11.566,11.784,12.721,13.105,12.138,16.85,16.85,16.961,16.528,16.088,16.097
FMNH 175735,Suidae,Potamochoerus larvatus ,Potamochoerus larvatus ,,,,,7.105,7.103,6.778,10.822,10.931,10.927,12.456,12.019,12.237,15.844,15.952,16.395,16.611,16.935,16.939
FMNH 175755,Suidae,Potamochoerus larvatus ,Potamochoerus larvatus ,,,,,6.749,6.637,6.969,11.505,11.616,11.505,12.06,12.5,12.5,16.375,16.375,16.154,16.496,16.606,16.717
